"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","932.00","921.00","952.00","921.00","17.01K","0.81%"
"22/09/2025","924.50","929.00","929.50","918.50","113.69K","-1.39%"
"19/09/2025","937.50","974.00","974.00","937.50","82.10K","-1.11%"
"18/09/2025","948.00","949.50","954.50","944.00","37.63K","0.32%"
"17/09/2025","945.00","919.50","954.50","919.50","76.91K","1.07%"
"16/09/2025","935.00","953.00","954.00","931.50","111.05K","-1.53%"
"15/09/2025","949.50","921.50","972.00","921.50","110.13K","0.11%"
"12/09/2025","948.50","948.00","959.50","940.00","133.47K","-0.05%"
"11/09/2025","949.00","933.00","951.00","920.50","229.25K","2.15%"
"10/09/2025","929.00","940.00","942.00","918.00","268.58K","-0.75%"
"09/09/2025","936.00","939.00","956.00","933.00","135.64K","-0.11%"
"08/09/2025","937.00","971.00","993.50","935.00","239.02K","-4.63%"
"05/09/2025","982.50","1,019.00","1,019.00","980.50","79.90K","-1.01%"
"04/09/2025","992.50","991.00","996.50","985.00","89.03K","0.81%"
"03/09/2025","984.50","1,023.00","1,033.00","965.00","391.36K","-3.86%"
"02/09/2025","1,024.00","1,011.00","1,038.00","1,008.00","219.72K","0.99%"
"01/09/2025","1,014.00","1,029.00","1,037.00","1,006.00","50.65K","-1.27%"
"29/08/2025","1,027.00","1,017.00","1,035.00","1,010.00","111.71K","0.88%"
"28/08/2025","1,018.00","1,001.00","1,027.00","1,001.00","145.21K","0.10%"
"27/08/2025","1,017.00","1,032.00","1,038.00","1,012.00","120.83K","-0.88%"
"26/08/2025","1,026.00","1,040.00","1,040.00","1,017.00","120.76K","-1.06%"
"22/08/2025","1,037.00","1,050.00","1,050.00","1,015.00","129.18K","2.07%"
"21/08/2025","1,016.00","1,007.00","1,031.00","1,007.00","131.87K","-1.36%"
"20/08/2025","1,030.00","1,005.00","1,039.00","1,000.00","252.12K","1.88%"
"19/08/2025","1,011.00","1,023.00","1,023.00","998.50","231.76K","0.50%"
"18/08/2025","1,006.00","998.50","1,017.00","953.00","251.49K","0.70%"
"15/08/2025","999.00","1,000.00","1,019.00","998.50","115.21K","-0.70%"
"14/08/2025","1,006.00","1,022.00","1,032.00","1,005.00","187.34K","-1.95%"
"13/08/2025","1,026.00","1,022.00","1,036.00","992.50","210.24K","0.39%"
"12/08/2025","1,022.00","969.50","1,023.00","969.50","193.91K","3.55%"
"11/08/2025","987.00","986.00","1,014.00","981.50","125.48K","0.10%"
"08/08/2025","986.00","948.00","995.00","947.50","252.33K","2.82%"
"07/08/2025","959.00","964.50","981.00","933.00","196.66K","-0.26%"
"06/08/2025","961.50","947.50","965.50","947.50","119.77K","1.37%"
"05/08/2025","948.50","959.50","961.50","944.00","83.49K","-0.68%"
"04/08/2025","955.00","951.50","957.00","942.00","122.41K","1.27%"
"01/08/2025","943.00","961.50","962.50","941.00","126.58K","-1.92%"
"31/07/2025","961.50","987.00","992.50","956.50","162.37K","-3.37%"
"30/07/2025","995.00","1,039.00","1,039.00","980.00","84.60K","0.30%"
"29/07/2025","992.00","1,039.00","1,039.00","990.50","113.35K","-1.88%"
"28/07/2025","1,011.00","1,028.00","1,031.00","1,011.00","90.90K","-1.46%"
"25/07/2025","1,026.00","1,022.00","1,032.00","1,018.00","85.90K","0.20%"
"24/07/2025","1,024.00","1,034.00","1,043.00","1,021.00","87.67K","-1.06%"
"23/07/2025","1,035.00","1,031.00","1,041.00","1,029.00","111.32K","1.07%"
"22/07/2025","1,024.00","1,030.00","1,030.00","1,016.00","127.06K","-1.06%"
"21/07/2025","1,035.00","1,061.00","1,061.00","1,032.00","1.08M","-1.99%"
"18/07/2025","1,056.00","1,069.00","1,077.00","1,043.00","614.42K","-0.75%"
"17/07/2025","1,064.00","1,048.00","1,069.00","1,041.00","258.48K","2.50%"
"16/07/2025","1,038.00","1,040.00","1,065.00","1,025.00","350.55K","-0.29%"
"15/07/2025","1,041.00","1,045.00","1,079.00","1,012.00","446.61K","-1.05%"
"14/07/2025","1,052.00","1,055.00","1,065.00","1,026.00","546.23K","-0.28%"
"11/07/2025","1,055.00","1,080.00","1,086.00","1,052.00","155.15K","-2.31%"
"10/07/2025","1,080.00","1,051.00","1,113.00","1,051.00","492.20K","1.41%"
"09/07/2025","1,065.00","1,052.00","1,081.00","1,052.00","409.92K","1.43%"
"08/07/2025","1,050.00","1,014.00","1,065.00","1,014.00","576.23K","3.65%"
"07/07/2025","1,013.00","985.00","1,024.00","981.00","374.93K","3.16%"
"04/07/2025","982.00","972.00","1,019.00","972.00","158.63K","-3.73%"
"03/07/2025","1,020.00","958.00","1,025.00","958.00","544.21K","7.42%"
"02/07/2025","949.50","944.50","962.00","938.50","354.19K","-0.58%"
"01/07/2025","955.00","1,036.00","1,052.00","935.00","1.42M","11.83%"
