"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","1,269.00","1,272.00","1,274.00","1,244.00","29.34K","0.08%"
"22/09/2025","1,268.00","1,234.00","1,276.00","1,228.00","89.49K","2.26%"
"19/09/2025","1,240.00","1,224.00","1,246.00","1,216.00","1.01M","0.98%"
"18/09/2025","1,228.00","1,258.00","1,264.00","1,212.00","1.27M","-2.38%"
"17/09/2025","1,258.00","1,256.00","1,270.00","1,248.00","111.29K","0.16%"
"16/09/2025","1,256.00","1,236.00","1,264.00","1,230.00","164.23K","2.61%"
"15/09/2025","1,224.00","1,248.00","1,248.00","1,216.00","506.38K","0.33%"
"12/09/2025","1,220.00","1,228.00","1,240.00","1,214.00","226.75K","-0.65%"
"11/09/2025","1,228.00","1,210.00","1,228.00","1,200.00","415.13K","1.49%"
"10/09/2025","1,210.00","1,210.00","1,224.00","1,196.00","532.87K","-0.66%"
"09/09/2025","1,218.00","1,252.00","1,252.00","1,208.00","198.20K","-2.40%"
"08/09/2025","1,248.00","1,172.00","1,248.00","1,172.00","143.05K","1.79%"
"05/09/2025","1,226.00","1,170.00","1,226.00","1,170.00","620.80K","0.82%"
"04/09/2025","1,216.00","1,226.00","1,226.00","1,190.00","112.83K","0.83%"
"03/09/2025","1,206.00","1,198.00","1,224.00","1,196.00","163.51K","1.01%"
"02/09/2025","1,194.00","1,200.00","1,208.00","1,188.00","140.25K","-1.00%"
"01/09/2025","1,206.00","1,230.00","1,242.00","1,206.00","113.86K","-1.79%"
"29/08/2025","1,228.00","1,270.00","1,274.00","1,228.00","270.36K","-3.31%"
"28/08/2025","1,270.00","1,300.00","1,300.00","1,268.00","99.29K","-1.24%"
"27/08/2025","1,286.00","1,248.00","1,290.00","1,248.00","102.68K","2.06%"
"26/08/2025","1,260.00","1,288.00","1,288.00","1,256.00","356.33K","-2.48%"
"22/08/2025","1,292.00","1,214.00","1,296.00","1,214.00","95.26K","1.89%"
"21/08/2025","1,268.00","1,266.00","1,268.00","1,252.00","303.50K","0.63%"
"20/08/2025","1,260.00","1,238.00","1,272.00","1,224.00","85.56K","1.61%"
"19/08/2025","1,240.00","1,230.00","1,240.00","1,224.00","55.27K","0.98%"
"18/08/2025","1,228.00","1,240.00","1,246.00","1,216.00","59.81K","-0.65%"
"15/08/2025","1,236.00","1,244.00","1,252.00","1,232.00","56.09K","-0.64%"
"14/08/2025","1,244.00","1,244.00","1,244.00","1,226.00","42.28K","0.81%"
"13/08/2025","1,234.00","1,242.00","1,260.00","1,224.00","60.64K","-0.96%"
"12/08/2025","1,246.00","1,220.00","1,246.00","1,218.00","44.36K","1.80%"
"11/08/2025","1,224.00","1,210.00","1,240.00","1,210.00","109.92K","0.82%"
"08/08/2025","1,214.00","1,176.00","1,222.00","1,176.00","46.56K","-0.49%"
"07/08/2025","1,220.00","1,218.00","1,226.00","1,206.00","54.21K","0.99%"
"06/08/2025","1,208.00","1,250.00","1,250.00","1,198.00","80.08K","0.17%"
"05/08/2025","1,206.00","1,244.00","1,244.00","1,204.00","76.53K","0.17%"
"04/08/2025","1,204.00","1,176.00","1,208.00","1,176.00","82.88K","0.00%"
"01/08/2025","1,204.00","1,260.00","1,260.00","1,188.00","243.90K","-1.95%"
"31/07/2025","1,228.00","1,224.00","1,248.00","1,220.00","344.44K","0.33%"
"30/07/2025","1,224.00","1,244.00","1,244.00","1,208.00","259.32K","-1.61%"
"29/07/2025","1,244.00","1,220.00","1,256.00","1,218.00","109.09K","1.80%"
"28/07/2025","1,222.00","1,246.00","1,266.00","1,220.00","213.73K","-3.02%"
"25/07/2025","1,260.00","1,256.00","1,264.00","1,242.00","660.70K","0.64%"
"24/07/2025","1,252.00","1,164.00","1,278.00","1,164.00","787.36K","5.03%"
"23/07/2025","1,192.00","1,208.00","1,226.00","1,192.00","366.22K","-0.50%"
"22/07/2025","1,198.00","1,246.00","1,246.00","1,188.00","140.72K","-0.66%"
"21/07/2025","1,206.00","1,196.00","1,220.00","1,196.00","229.07K","-1.15%"
"18/07/2025","1,220.00","1,244.00","1,244.00","1,200.00","103.23K","0.33%"
"17/07/2025","1,216.00","1,194.00","1,220.00","1,194.00","132.43K","1.33%"
"16/07/2025","1,200.00","1,222.00","1,228.00","1,196.00","141.14K","-2.44%"
"15/07/2025","1,230.00","1,220.00","1,278.00","1,208.00","272.82K","1.82%"
"14/07/2025","1,208.00","1,200.00","1,222.00","1,196.00","135.12K","0.67%"
"11/07/2025","1,200.00","1,210.00","1,218.00","1,190.00","132.76K","-1.80%"
"10/07/2025","1,222.00","1,216.00","1,228.00","1,208.00","126.50K","0.66%"
"09/07/2025","1,214.00","1,240.00","1,240.00","1,214.00","163.40K","-1.14%"
"08/07/2025","1,228.00","1,216.00","1,232.00","1,208.00","96.90K","0.99%"
"07/07/2025","1,216.00","1,208.00","1,226.00","1,188.00","253.14K","0.50%"
"04/07/2025","1,210.00","1,226.00","1,230.00","1,210.00","138.93K","-2.26%"
"03/07/2025","1,238.00","1,276.00","1,276.00","1,224.00","88.11K","0.49%"
"02/07/2025","1,232.00","1,210.00","1,258.00","1,210.00","124.12K","-0.96%"
"01/07/2025","1,244.00","1,248.00","1,262.00","1,242.00","136.26K","-0.48%"
