"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","1,362.00","1,360.00","1,372.00","1,334.00","71.43K","0.59%"
"22/09/2025","1,354.00","1,348.00","1,364.00","1,328.00","191.64K","1.20%"
"19/09/2025","1,338.00","1,346.00","1,358.00","1,320.00","138.19K","0.45%"
"18/09/2025","1,332.00","1,322.00","1,334.00","1,310.00","66.75K","1.06%"
"17/09/2025","1,318.00","1,440.00","1,440.00","1,292.00","149.59K","-5.59%"
"16/09/2025","1,396.00","1,404.00","1,444.00","1,390.00","311.91K","-3.72%"
"15/09/2025","1,450.00","1,362.00","1,458.00","1,362.00","199.15K","4.32%"
"12/09/2025","1,390.00","1,338.00","1,390.00","1,326.00","253.87K","4.83%"
"11/09/2025","1,326.00","1,268.00","1,334.00","1,268.00","157.71K","4.08%"
"10/09/2025","1,274.00","1,254.00","1,288.00","1,240.00","105.95K","2.25%"
"09/09/2025","1,246.00","1,238.00","1,270.00","1,196.00","268.39K","0.65%"
"08/09/2025","1,238.00","1,244.00","1,278.00","1,234.00","92.23K","-0.32%"
"05/09/2025","1,242.00","1,332.00","1,344.00","1,228.00","306.97K","-6.62%"
"04/09/2025","1,330.00","1,300.00","1,340.00","1,288.00","238.12K","1.84%"
"03/09/2025","1,306.00","1,296.00","1,320.00","1,290.00","56.36K","1.24%"
"02/09/2025","1,290.00","1,326.00","1,328.00","1,258.00","193.90K","-1.83%"
"01/09/2025","1,314.00","1,280.00","1,350.00","1,280.00","234.53K","2.50%"
"29/08/2025","1,282.00","1,270.00","1,310.00","1,270.00","162.72K","-0.31%"
"28/08/2025","1,286.00","1,238.00","1,286.00","1,226.00","122.09K","3.38%"
"27/08/2025","1,244.00","1,274.00","1,274.00","1,218.00","80.62K","-2.51%"
"26/08/2025","1,276.00","1,210.00","1,276.00","1,210.00","196.36K","3.74%"
"22/08/2025","1,230.00","1,218.00","1,232.00","1,200.00","81.01K","2.16%"
"21/08/2025","1,204.00","1,226.00","1,226.00","1,178.00","129.60K","-1.47%"
"20/08/2025","1,222.00","1,224.00","1,238.00","1,208.00","79.57K","-1.77%"
"19/08/2025","1,244.00","1,280.00","1,280.00","1,222.00","100.82K","-2.66%"
"18/08/2025","1,278.00","1,282.00","1,288.00","1,236.00","242.35K","1.11%"
"15/08/2025","1,264.00","1,300.00","1,312.00","1,264.00","173.50K","-3.22%"
"14/08/2025","1,306.00","1,328.00","1,328.00","1,284.00","109.48K","1.87%"
"13/08/2025","1,282.00","1,306.00","1,306.00","1,276.00","80.11K","-1.08%"
"12/08/2025","1,296.00","1,270.00","1,312.00","1,270.00","97.11K","0.93%"
"11/08/2025","1,284.00","1,342.00","1,344.00","1,262.00","258.17K","-4.75%"
"08/08/2025","1,348.00","1,322.00","1,378.00","1,322.00","80.35K","-0.74%"
"07/08/2025","1,358.00","1,450.00","1,450.00","1,344.00","107.45K","-4.90%"
"06/08/2025","1,428.00","1,430.00","1,430.00","1,396.00","126.54K","1.42%"
"05/08/2025","1,408.00","1,404.00","1,464.00","1,388.00","181.47K","1.29%"
"04/08/2025","1,390.00","1,372.00","1,412.00","1,360.00","128.90K","-0.43%"
"01/08/2025","1,396.00","1,422.00","1,452.00","1,386.00","127.99K","-4.12%"
"31/07/2025","1,456.00","1,430.00","1,466.00","1,424.00","87.51K","2.39%"
"30/07/2025","1,422.00","1,430.00","1,492.00","1,422.00","87.91K","-2.47%"
"29/07/2025","1,458.00","1,474.00","1,500.00","1,440.00","148.38K","-0.68%"
"28/07/2025","1,468.00","1,530.00","1,550.00","1,468.00","226.00K","-4.18%"
"25/07/2025","1,532.00","1,548.00","1,550.00","1,490.00","126.75K","-0.65%"
"24/07/2025","1,542.00","1,580.00","1,610.00","1,542.00","194.42K","-1.41%"
"23/07/2025","1,564.00","1,532.00","1,568.00","1,532.00","117.64K","1.30%"
"22/07/2025","1,544.00","1,590.00","1,590.00","1,530.00","392.55K","-2.15%"
"21/07/2025","1,578.00","1,520.00","1,584.00","1,520.00","73.56K","1.68%"
"18/07/2025","1,552.00","1,524.00","1,570.00","1,510.00","258.37K","1.70%"
"17/07/2025","1,526.00","1,744.00","1,784.00","1,526.00","425.29K","-12.70%"
"16/07/2025","1,748.00","1,596.00","1,796.00","1,584.00","1.70M","13.51%"
"15/07/2025","1,540.00","1,588.00","1,588.00","1,524.00","99.97K","-1.28%"
"14/07/2025","1,560.00","1,510.00","1,568.00","1,494.00","189.92K","1.30%"
"11/07/2025","1,540.00","1,506.00","1,550.00","1,506.00","131.28K","0.52%"
"10/07/2025","1,532.00","1,550.00","1,578.00","1,524.00","68.69K","-1.54%"
"09/07/2025","1,556.00","1,532.00","1,566.00","1,532.00","46.93K","0.39%"
"08/07/2025","1,550.00","1,508.00","1,556.00","1,508.00","138.13K","1.57%"
"07/07/2025","1,526.00","1,544.00","1,576.00","1,508.00","94.98K","-1.68%"
"04/07/2025","1,552.00","1,554.00","1,586.00","1,548.00","65.29K","-1.02%"
"03/07/2025","1,568.00","1,518.00","1,568.00","1,518.00","98.26K","3.43%"
"02/07/2025","1,516.00","1,528.00","1,528.00","1,470.00","180.80K","-0.79%"
"01/07/2025","1,528.00","1,522.00","1,564.00","1,522.00","118.13K","-1.42%"
