"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","2,370.0","2,340.0","2,401.6","2,259.0","96.57K","5.33%"
"22/09/2025","2,250.0","2,490.0","2,490.0","2,250.0","61.73K","-5.46%"
"19/09/2025","2,380.0","2,420.0","2,490.0","2,350.0","41.38K","-0.83%"
"18/09/2025","2,400.0","2,520.0","2,540.0","2,400.0","173.46K","-7.69%"
"17/09/2025","2,600.0","2,490.0","2,620.0","2,450.0","716.24K","4.00%"
"16/09/2025","2,500.0","2,360.0","2,510.0","2,340.0","664.05K","7.30%"
"15/09/2025","2,330.0","2,330.0","2,330.0","2,330.0","932.20K","2.64%"
"12/09/2025","2,270.0","2,270.0","2,270.0","2,270.0","67.06K","-5.42%"
"11/09/2025","2,400.0","2,400.0","2,400.0","2,400.0","47.11K","2.56%"
"10/09/2025","2,340.0","2,340.0","2,340.0","2,340.0","610.53K","8.84%"
"09/09/2025","2,150.0","2,150.0","2,150.0","2,150.0","203.79K","0.94%"
"08/09/2025","2,130.0","2,195.0","2,200.0","2,125.0","29.31K","0.00%"
"05/09/2025","2,130.0","2,155.0","2,190.0","2,110.0","16.18K","-0.47%"
"04/09/2025","2,140.0","2,155.0","2,200.0","2,110.0","27.45K","-0.47%"
"03/09/2025","2,150.0","2,145.0","2,190.0","2,100.0","134.15K","0.00%"
"02/09/2025","2,150.0","2,140.0","2,180.0","2,100.0","13.15K","0.00%"
"01/09/2025","2,150.0","2,225.0","2,250.0","2,150.0","43.26K","0.47%"
"29/08/2025","2,140.0","2,170.0","2,200.0","2,130.0","219.99K","-0.47%"
"28/08/2025","2,150.0","2,190.0","2,195.0","2,104.0","31.45K","-1.83%"
"27/08/2025","2,190.0","2,205.0","2,230.0","2,180.0","329.68K","-0.45%"
"26/08/2025","2,200.0","2,225.0","2,250.0","2,180.0","80.43K","-2.22%"
"22/08/2025","2,250.0","2,225.0","2,250.0","2,200.0","13.45K","0.00%"
"21/08/2025","2,250.0","2,245.0","2,270.0","2,220.0","14.07K","0.00%"
"20/08/2025","2,250.0","2,260.0","2,300.0","2,220.0","23.88K","0.90%"
"19/08/2025","2,230.0","2,240.0","2,260.0","2,220.0","67.90K","-0.45%"
"18/08/2025","2,240.0","2,250.0","2,300.0","2,220.0","46.09K","-1.75%"
"15/08/2025","2,280.0","2,230.0","2,300.0","2,220.0","56.83K","1.79%"
"14/08/2025","2,240.0","2,215.0","2,240.0","2,170.0","38.09K","1.36%"
"13/08/2025","2,210.0","2,265.0","2,280.0","2,180.0","55.57K","-1.78%"
"12/08/2025","2,250.0","2,280.0","2,300.0","2,250.0","57.03K","-1.75%"
"11/08/2025","2,290.0","2,355.0","2,360.0","2,280.0","53.90K","-2.97%"
"08/08/2025","2,360.0","2,415.0","2,450.0","2,335.0","18.04K","-0.84%"
"07/08/2025","2,380.0","2,380.0","2,450.0","2,360.0","31.57K","-2.86%"
"06/08/2025","2,450.0","2,390.0","2,450.0","2,330.0","174.01K","2.51%"
"05/08/2025","2,390.0","2,345.0","2,400.0","2,340.0","185.06K","0.84%"
"04/08/2025","2,370.0","2,275.0","2,370.0","2,260.0","64.03K","4.87%"
"01/08/2025","2,260.0","2,260.0","2,290.0","2,210.0","160.65K","1.80%"
"31/07/2025","2,220.0","2,225.0","2,260.0","2,210.0","78.15K","0.00%"
"30/07/2025","2,220.0","2,355.0","2,350.0","2,219.3","44.87K","-5.13%"
"29/07/2025","2,340.0","2,370.0","2,400.0","2,310.0","19.35K","-0.85%"
"28/07/2025","2,360.0","2,350.0","2,450.0","2,300.0","35.39K","0.43%"
"25/07/2025","2,350.0","2,350.0","2,400.0","2,300.0","21.92K","0.43%"
"24/07/2025","2,340.0","2,375.0","2,400.0","2,300.0","18.50K","-0.85%"
"23/07/2025","2,360.0","2,375.0","2,400.0","2,350.0","36.44K","-1.26%"
"22/07/2025","2,390.0","2,390.0","2,420.0","2,350.0","12.42K","-0.83%"
"21/07/2025","2,410.0","2,500.0","2,530.0","2,360.0","125.97K","-2.03%"
"18/07/2025","2,460.0","2,505.0","2,480.0","2,450.0","61.35K","-0.81%"
"17/07/2025","2,480.0","2,485.0","2,580.0","2,457.8","140.92K","0.00%"
"16/07/2025","2,480.0","2,370.0","2,550.0","2,324.5","303.28K","10.22%"
"15/07/2025","2,250.0","2,250.0","2,270.0","2,200.0","32.19K","-0.88%"
"14/07/2025","2,270.0","2,225.0","2,270.0","2,210.0","91.97K","2.25%"
"11/07/2025","2,220.0","2,240.0","2,270.0","2,210.0","30.30K","-1.33%"
"10/07/2025","2,250.0","2,240.0","2,270.0","2,210.0","121.65K","0.45%"
"09/07/2025","2,240.0","2,240.0","2,270.0","2,213.5","30.63K","0.90%"
"08/07/2025","2,220.0","2,240.0","2,270.0","2,210.0","224.77K","-1.33%"
"07/07/2025","2,250.0","2,205.0","2,250.0","2,160.0","22.92K","0.45%"
"04/07/2025","2,240.0","2,190.0","2,250.0","2,165.0","20.07K","1.82%"
"03/07/2025","2,200.0","2,190.0","2,220.0","2,178.6","130.42K","0.46%"
"02/07/2025","2,190.0","2,185.0","2,230.0","2,160.0","100.28K","0.46%"
"01/07/2025","2,180.0","2,140.0","2,189.5","2,120.0","126.99K","2.83%"
