"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","929.60","908.00","937.00","896.80","287.66K","3.87%"
"22/09/2025","895.00","891.00","913.00","883.00","492.78K","0.34%"
"19/09/2025","892.00","911.00","927.00","889.00","456.09K","-1.76%"
"18/09/2025","908.00","929.00","933.00","908.00","500.87K","-0.87%"
"17/09/2025","916.00","884.00","917.00","881.00","409.97K","3.62%"
"16/09/2025","884.00","915.00","915.00","881.00","710.28K","-3.39%"
"15/09/2025","915.00","909.00","917.00","893.00","666.96K","1.22%"
"12/09/2025","904.00","875.00","907.00","861.00","551.96K","3.67%"
"11/09/2025","872.00","817.00","873.00","817.00","1.67M","12.52%"
"10/09/2025","775.00","779.00","799.00","773.00","329.39K","-0.77%"
"09/09/2025","781.00","785.00","792.00","780.00","207.35K","-0.51%"
"08/09/2025","785.00","817.00","817.00","777.00","323.45K","-1.13%"
"05/09/2025","794.00","795.00","800.00","788.00","303.42K","0.89%"
"04/09/2025","787.00","789.00","803.00","782.00","997.01K","0.38%"
"03/09/2025","784.00","814.00","814.00","773.00","423.45K","0.64%"
"02/09/2025","779.00","798.00","798.00","776.00","347.76K","-1.89%"
"01/09/2025","794.00","815.00","815.00","790.00","448.41K","-2.10%"
"29/08/2025","811.00","823.00","827.00","807.00","217.63K","-1.58%"
"28/08/2025","824.00","824.00","833.00","816.00","179.08K","0.00%"
"27/08/2025","824.00","829.00","835.00","817.00","264.29K","-0.72%"
"26/08/2025","830.00","848.00","854.00","824.00","439.83K","-1.43%"
"22/08/2025","842.00","844.00","852.00","837.00","293.33K","-0.24%"
"21/08/2025","844.00","866.00","866.00","832.00","466.59K","-0.71%"
"20/08/2025","850.00","904.00","908.00","836.00","1.57M","-9.86%"
"19/08/2025","943.00","950.00","960.00","933.00","408.69K","-0.32%"
"18/08/2025","946.00","938.00","949.00","928.00","451.82K","1.72%"
"15/08/2025","930.00","939.00","941.00","925.00","572.65K","-0.43%"
"14/08/2025","934.00","930.00","948.00","930.00","481.95K","-0.43%"
"13/08/2025","938.00","940.00","955.00","934.00","235.73K","-0.95%"
"12/08/2025","947.00","942.00","958.00","940.00","139.18K","-0.42%"
"11/08/2025","951.00","951.00","963.00","942.00","158.05K","0.42%"
"08/08/2025","947.00","940.00","972.00","940.00","310.99K","-1.76%"
"07/08/2025","964.00","970.00","973.00","939.00","227.50K","2.12%"
"06/08/2025","944.00","969.00","969.00","938.00","361.08K","-0.32%"
"05/08/2025","947.00","940.00","953.00","922.00","456.91K","0.96%"
"04/08/2025","938.00","948.00","951.00","929.00","301.44K","-1.05%"
"01/08/2025","948.00","948.00","968.00","945.00","241.84K","-0.52%"
"31/07/2025","953.00","957.00","957.00","934.00","631.37K","-0.42%"
"30/07/2025","957.00","960.00","971.00","957.00","261.52K","-0.21%"
"29/07/2025","959.00","985.00","985.00","956.00","310.03K","-1.84%"
"28/07/2025","977.00","1,000.00","1,010.00","974.00","525.70K","-1.81%"
"25/07/2025","995.00","1,014.00","1,020.00","985.00","1.05M","-0.30%"
"24/07/2025","998.00","948.00","1,002.00","948.00","725.57K","5.39%"
"23/07/2025","947.00","898.00","958.00","898.00","456.17K","1.72%"
"22/07/2025","931.00","916.00","937.00","912.00","230.21K","1.86%"
"21/07/2025","914.00","928.00","928.00","907.00","292.50K","-0.65%"
"18/07/2025","920.00","920.00","922.00","900.00","303.46K","2.00%"
"17/07/2025","902.00","906.00","910.00","898.00","459.18K","0.67%"
"16/07/2025","896.00","878.00","900.00","878.00","215.72K","1.82%"
"15/07/2025","880.00","860.00","894.00","860.00","341.95K","-1.01%"
"14/07/2025","889.00","910.00","910.00","881.00","281.85K","-0.11%"
"11/07/2025","890.00","860.00","899.00","860.00","211.59K","-0.45%"
"10/07/2025","894.00","876.00","900.00","876.00","301.78K","1.25%"
"09/07/2025","883.00","850.00","900.00","850.00","223.05K","-0.56%"
"08/07/2025","888.00","927.00","927.00","885.00","546.63K","-4.10%"
"07/07/2025","926.00","936.00","951.00","923.00","402.24K","-2.32%"
"04/07/2025","948.00","910.00","948.00","910.00","145.10K","1.07%"
"03/07/2025","938.00","910.00","952.00","910.00","244.62K","1.52%"
"02/07/2025","924.00","937.00","937.00","912.00","230.05K","0.54%"
"01/07/2025","919.00","913.00","941.00","906.00","348.00K","-1.61%"
