"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","988.00","965.00","988.00","966.00","70.61K","2.49%"
"22/09/2025","964.00","982.00","982.00","960.00","467.16K","-1.83%"
"19/09/2025","982.00","1,020.00","1,020.00","966.00","1.33M","-0.41%"
"18/09/2025","986.00","970.00","997.00","970.00","718.65K","0.20%"
"17/09/2025","984.00","987.00","1,004.00","984.00","242.70K","-0.40%"
"16/09/2025","988.00","1,014.00","1,014.00","988.00","685.87K","-2.37%"
"15/09/2025","1,012.00","990.00","1,024.00","988.00","308.97K","2.02%"
"12/09/2025","992.00","987.00","1,016.00","984.00","389.68K","0.61%"
"11/09/2025","986.00","1,020.00","1,026.00","986.00","507.10K","-3.33%"
"10/09/2025","1,020.00","1,024.00","1,060.00","1,020.00","821.54K","-0.39%"
"09/09/2025","1,024.00","1,134.00","1,184.00","995.00","1.66M","-3.76%"
"08/09/2025","1,064.00","1,030.00","1,066.00","1,030.00","239.23K","1.53%"
"05/09/2025","1,048.00","1,062.00","1,062.00","1,040.00","219.91K","-0.19%"
"04/09/2025","1,050.00","1,046.00","1,056.00","1,040.00","234.64K","0.38%"
"03/09/2025","1,046.00","1,030.00","1,050.00","1,030.00","305.32K","1.75%"
"02/09/2025","1,028.00","1,054.00","1,054.00","1,028.00","523.73K","-2.47%"
"01/09/2025","1,054.00","1,054.00","1,064.00","1,050.00","240.41K","-0.19%"
"29/08/2025","1,056.00","1,070.00","1,080.00","1,056.00","111.98K","-1.31%"
"28/08/2025","1,070.00","1,094.00","1,098.00","1,064.00","213.29K","-2.01%"
"27/08/2025","1,092.00","1,076.00","1,098.00","1,074.00","131.78K","1.30%"
"26/08/2025","1,078.00","1,100.00","1,104.00","1,078.00","332.14K","-2.53%"
"22/08/2025","1,106.00","1,088.00","1,106.00","1,082.00","228.05K","1.28%"
"21/08/2025","1,092.00","1,070.00","1,092.00","1,064.00","203.95K","1.68%"
"20/08/2025","1,074.00","1,092.00","1,094.00","1,058.00","355.20K","-2.36%"
"19/08/2025","1,100.00","1,108.00","1,108.00","1,090.00","165.50K","0.73%"
"18/08/2025","1,092.00","1,072.00","1,096.00","1,070.00","238.92K","1.68%"
"15/08/2025","1,074.00","1,080.00","1,088.00","1,066.00","154.91K","0.19%"
"14/08/2025","1,072.00","1,082.00","1,092.00","1,058.00","296.69K","-1.47%"
"13/08/2025","1,088.00","1,086.00","1,100.00","1,084.00","124.79K","-0.18%"
"12/08/2025","1,090.00","1,090.00","1,106.00","1,090.00","134.50K","-0.73%"
"11/08/2025","1,098.00","1,074.00","1,112.00","1,068.00","396.03K","3.00%"
"08/08/2025","1,066.00","1,072.00","1,082.00","1,062.00","155.72K","-1.11%"
"07/08/2025","1,078.00","1,056.00","1,088.00","1,056.00","241.02K","0.75%"
"06/08/2025","1,070.00","1,098.00","1,098.00","1,070.00","436.81K","-2.01%"
"05/08/2025","1,092.00","1,092.00","1,098.00","1,084.00","1.59M","0.18%"
"04/08/2025","1,090.00","1,086.00","1,090.00","1,078.00","712.73K","1.30%"
"01/08/2025","1,076.00","1,084.00","1,088.00","1,062.00","436.00K","-1.10%"
"31/07/2025","1,088.00","1,084.00","1,094.00","1,066.00","427.98K","2.06%"
"30/07/2025","1,066.00","1,078.00","1,084.00","1,066.00","661.24K","-1.11%"
"29/07/2025","1,078.00","1,106.00","1,106.00","1,070.00","716.40K","-1.64%"
"28/07/2025","1,096.00","1,112.00","1,112.00","1,082.00","499.54K","-0.54%"
"25/07/2025","1,102.00","1,092.00","1,106.00","1,082.00","306.89K","1.10%"
"24/07/2025","1,090.00","1,066.00","1,092.00","1,066.00","185.72K","2.06%"
"23/07/2025","1,068.00","1,110.00","1,110.00","1,066.00","356.37K","-2.02%"
"22/07/2025","1,090.00","1,094.00","1,100.00","1,082.00","146.29K","-0.73%"
"21/07/2025","1,098.00","1,110.00","1,110.00","1,094.00","1.22M","-1.08%"
"18/07/2025","1,110.00","1,108.00","1,116.00","1,100.00","317.50K","0.91%"
"17/07/2025","1,100.00","1,096.00","1,104.00","1,084.00","262.56K","1.29%"
"16/07/2025","1,086.00","1,100.00","1,112.00","1,078.00","403.05K","-1.99%"
"15/07/2025","1,108.00","1,110.00","1,124.00","1,104.00","313.39K","-0.18%"
"14/07/2025","1,110.00","1,088.00","1,112.00","1,080.00","213.13K","1.83%"
"11/07/2025","1,090.00","1,090.00","1,096.00","1,082.00","223.49K","-0.55%"
"10/07/2025","1,096.00","1,106.00","1,108.00","1,094.00","185.79K","-0.72%"
"09/07/2025","1,104.00","1,114.00","1,118.00","1,104.00","411.98K","-1.08%"
"08/07/2025","1,116.00","1,130.00","1,130.00","1,112.00","485.57K","-0.89%"
"07/07/2025","1,126.00","1,122.00","1,134.00","1,116.00","203.09K","0.18%"
"04/07/2025","1,124.00","1,136.00","1,138.00","1,118.00","105.20K","-1.06%"
"03/07/2025","1,136.00","1,104.00","1,142.00","1,104.00","256.72K","-0.18%"
"02/07/2025","1,138.00","1,116.00","1,146.00","1,102.00","816.18K","1.43%"
"01/07/2025","1,122.00","1,138.00","1,140.00","1,116.00","297.77K","-1.41%"
