"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","133.85","131.00","137.00","131.00","436.13K","1.40%"
"22/09/2025","132.00","140.50","141.50","132.00","1.61M","-4.35%"
"19/09/2025","138.00","145.50","145.50","138.00","4.22M","-5.15%"
"18/09/2025","145.50","150.00","150.50","145.50","2.16M","-3.00%"
"17/09/2025","150.00","150.50","150.50","150.00","1.26M","0.00%"
"16/09/2025","150.00","151.00","152.50","150.00","1.76M","0.00%"
"15/09/2025","150.00","150.00","153.00","149.50","1.70M","-0.99%"
"12/09/2025","151.50","150.50","154.00","150.50","2.07M","0.66%"
"11/09/2025","150.50","143.50","151.50","143.50","2.59M","3.08%"
"10/09/2025","146.00","145.00","146.00","142.00","21.64M","0.34%"
"09/09/2025","145.50","134.00","147.00","134.00","2.36M","7.38%"
"08/09/2025","135.50","138.00","139.50","130.50","1.03M","-1.45%"
"05/09/2025","137.50","133.00","140.00","133.00","703.85K","3.00%"
"04/09/2025","133.50","132.50","134.00","131.00","580.44K","1.14%"
"03/09/2025","132.00","130.50","133.00","130.50","401.75K","1.15%"
"02/09/2025","130.50","135.50","137.50","130.00","971.00K","-4.74%"
"01/09/2025","137.00","135.50","138.00","134.50","410.83K","2.24%"
"29/08/2025","134.00","136.00","136.00","132.50","650.20K","0.37%"
"28/08/2025","133.50","130.50","133.50","130.50","554.70K","2.30%"
"27/08/2025","130.50","132.50","132.50","130.50","442.44K","-2.25%"
"26/08/2025","133.50","133.50","134.50","131.50","717.50K","-0.37%"
"22/08/2025","134.00","128.00","134.00","128.00","555.80K","4.28%"
"21/08/2025","128.50","128.50","131.00","128.00","655.13K","-1.15%"
"20/08/2025","130.00","133.50","133.50","130.00","1.02M","-2.26%"
"19/08/2025","133.00","130.50","134.50","130.50","591.37K","1.14%"
"18/08/2025","131.50","131.00","132.50","129.00","4.02M","0.38%"
"15/08/2025","131.00","133.00","133.00","131.00","320.26K","-1.50%"
"14/08/2025","133.00","133.00","134.50","131.00","1.47M","1.14%"
"13/08/2025","131.50","129.50","132.50","129.50","1.19M","1.15%"
"12/08/2025","130.00","133.00","135.00","129.50","1.03M","-2.26%"
"11/08/2025","133.00","135.00","137.50","133.00","1.52M","-2.56%"
"08/08/2025","136.50","139.50","139.50","136.00","1.71M","-1.44%"
"07/08/2025","138.50","142.50","142.50","137.50","1.58M","-1.07%"
"06/08/2025","140.00","143.50","143.50","138.50","2.86M","-1.75%"
"05/08/2025","142.50","143.00","146.50","142.50","1.75M","0.00%"
"04/08/2025","142.50","141.00","144.50","141.00","386.06K","0.35%"
"01/08/2025","142.00","140.00","142.00","140.00","1.60M","0.35%"
"31/07/2025","141.50","140.00","142.50","139.00","731.46K","-0.35%"
"30/07/2025","142.00","145.00","146.50","142.00","2.29M","-2.07%"
"29/07/2025","145.00","145.50","146.00","143.50","821.10K","0.35%"
"28/07/2025","144.50","145.00","146.00","143.00","3.18M","0.00%"
"25/07/2025","144.50","142.50","145.00","141.00","685.10K","2.12%"
"24/07/2025","141.50","140.00","142.50","138.00","1.17M","1.43%"
"23/07/2025","139.50","137.50","141.00","137.50","1.79M","1.82%"
"22/07/2025","137.00","139.00","139.50","136.00","1.64M","-1.79%"
"21/07/2025","139.50","139.00","140.50","138.00","1.11M","-0.36%"
"18/07/2025","140.00","136.00","140.50","136.00","1.12M","2.94%"
"17/07/2025","136.00","141.00","142.50","135.50","1.74M","-5.23%"
"16/07/2025","143.50","145.00","145.50","143.00","2.52M","-1.71%"
"15/07/2025","146.00","144.00","146.00","137.00","1.91M","-0.34%"
"14/07/2025","146.50","140.00","147.00","140.00","1.07M","4.64%"
"11/07/2025","140.00","138.50","141.50","137.50","7.19M","0.72%"
"10/07/2025","139.00","140.00","141.00","138.50","1.89M","-0.71%"
"09/07/2025","140.00","139.00","141.50","139.00","6.91M","0.00%"
"08/07/2025","140.00","142.00","143.00","139.50","1.76M","-1.75%"
"07/07/2025","142.50","142.00","143.50","140.50","1.84M","0.35%"
"04/07/2025","142.00","144.00","144.00","142.00","895.11K","-1.39%"
"03/07/2025","144.00","144.50","144.50","142.00","3.57M","1.41%"
"02/07/2025","142.00","145.00","145.50","140.50","748.74K","-2.41%"
"01/07/2025","145.50","146.00","149.00","145.00","1.46M","-1.36%"
