"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","357.30","345.00","360.40","340.00","1.20M","5.09%"
"22/09/2025","340.00","347.50","345.00","325.00","1.88M","8.52%"
"19/09/2025","313.30","307.50","315.00","305.00","2.53M","2.39%"
"18/09/2025","306.00","300.00","310.00","297.50","2.05M","2.34%"
"17/09/2025","299.00","302.50","310.00","295.00","968.92K","-1.97%"
"16/09/2025","305.00","297.50","310.00","295.00","1.33M","2.69%"
"15/09/2025","297.00","297.50","305.00","290.00","802.28K","0.68%"
"12/09/2025","295.00","297.50","305.00","290.00","1.03M","-3.28%"
"11/09/2025","305.00","295.00","305.00","290.00","1.33M","3.39%"
"10/09/2025","295.00","302.50","305.00","285.00","1.04M","-2.30%"
"09/09/2025","301.95","312.50","315.00","300.00","1.49M","-1.64%"
"08/09/2025","307.00","312.50","320.00","300.00","1.25M","-0.65%"
"05/09/2025","309.00","297.50","315.00","295.00","2.40M","3.69%"
"04/09/2025","298.00","300.00","300.00","285.00","1.66M","-1.32%"
"03/09/2025","302.00","295.00","310.00","290.00","2.70M","0.33%"
"02/09/2025","301.00","287.50","301.00","280.00","1.27M","2.10%"
"01/09/2025","294.80","272.50","295.00","270.00","2.13M","10.83%"
"29/08/2025","266.00","260.00","270.00","255.00","1.22M","3.91%"
"28/08/2025","256.00","267.50","270.00","255.00","864.01K","-5.66%"
"27/08/2025","271.35","260.00","271.35","255.00","1.05M","3.57%"
"26/08/2025","262.00","262.50","265.00","255.00","2.46M","-1.13%"
"22/08/2025","265.00","265.00","270.00","260.00","2.57M","-0.38%"
"21/08/2025","266.00","267.50","275.00","260.00","3.48M","0.38%"
"20/08/2025","265.00","265.00","275.00","260.00","3.00M","-0.75%"
"19/08/2025","267.00","257.50","270.00","255.00","1.11M","2.69%"
"18/08/2025","260.00","252.50","260.00","247.00","1.38M","1.96%"
"15/08/2025","255.00","257.50","265.00","250.00","1.15M","-1.92%"
"14/08/2025","260.00","240.00","260.00","237.50","2.00M","8.33%"
"13/08/2025","240.00","232.50","245.00","230.00","2.51M","2.13%"
"12/08/2025","235.00","240.00","245.00","230.00","3.29M","-2.49%"
"11/08/2025","241.00","245.00","250.00","235.00","4.61M","-3.21%"
"08/08/2025","249.00","240.00","250.00","235.00","2.46M","3.75%"
"07/08/2025","240.00","252.50","255.00","235.00","3.07M","-5.88%"
"06/08/2025","255.00","257.50","265.00","250.00","2.60M","0.00%"
"05/08/2025","255.00","262.50","265.00","250.00","1.86M","-2.30%"
"04/08/2025","261.00","260.00","265.00","240.00","1.50M","-0.38%"
"01/08/2025","262.00","242.50","265.00","240.00","2.97M","8.26%"
"31/07/2025","242.00","257.50","260.00","230.00","5.62M","-6.92%"
"30/07/2025","260.00","255.00","275.00","250.00","2.94M","1.96%"
"29/07/2025","255.00","290.00","290.00","230.00","9.10M","-22.73%"
"28/07/2025","330.00","335.00","345.00","325.00","1.63M","-0.60%"
"25/07/2025","332.00","340.00","347.00","330.00","1.29M","-1.19%"
"24/07/2025","336.00","337.50","345.00","330.00","1.16M","-1.18%"
"23/07/2025","340.00","335.00","350.00","335.00","1.67M","1.49%"
"22/07/2025","335.00","327.50","340.00","325.00","1.70M","3.08%"
"21/07/2025","325.00","320.00","330.00","315.00","1.04M","0.93%"
"18/07/2025","322.00","317.50","325.00","315.00","564.39K","0.00%"
"17/07/2025","322.00","322.50","325.00","315.00","961.75K","-0.92%"
"16/07/2025","325.00","332.50","340.00","320.00","871.45K","-2.40%"
"15/07/2025","333.00","332.50","350.00","330.00","2.02M","-0.60%"
"14/07/2025","335.00","322.50","340.00","320.00","1.83M","4.04%"
"11/07/2025","322.00","310.00","325.00","305.00","2.41M","3.54%"
"10/07/2025","311.00","305.00","320.00","300.00","3.19M","1.97%"
"09/07/2025","305.00","310.00","315.00","300.00","2.28M","-3.17%"
"08/07/2025","315.00","315.00","320.00","305.00","3.44M","-0.63%"
"07/07/2025","317.00","327.50","330.00","310.00","1.70M","-3.06%"
"04/07/2025","327.00","332.50","335.00","325.00","1.57M","-1.51%"
"03/07/2025","332.00","327.50","338.95","325.00","3.47M","0.61%"
"02/07/2025","330.00","329.00","335.00","325.00","4.48M","-0.60%"
"01/07/2025","332.00","327.50","335.00","320.00","4.32M","0.61%"
