"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","0.720","0.728","0.736","0.720","2.03M","-0.83%"
"22/09/2025","0.726","0.718","0.726","0.718","194.56K","0.41%"
"19/09/2025","0.723","0.720","0.722","0.718","617.30K","-0.41%"
"18/09/2025","0.726","0.730","0.730","0.720","133.55K","-1.22%"
"17/09/2025","0.735","0.728","0.730","0.728","323.66K","0.96%"
"16/09/2025","0.728","0.740","0.740","0.720","66.52K","-0.68%"
"15/09/2025","0.733","0.734","0.736","0.728","185.25K","-0.54%"
"12/09/2025","0.737","0.746","0.746","0.740","216.55K","-0.94%"
"11/09/2025","0.744","0.740","0.746","0.740","75.82K","1.22%"
"10/09/2025","0.735","0.740","0.744","0.740","395.61K","-0.68%"
"09/09/2025","0.740","0.736","0.742","0.734","738.80K","0.95%"
"08/09/2025","0.733","0.736","0.738","0.728","301.31K","0.96%"
"05/09/2025","0.726","0.730","0.738","0.726","27.66K","0.28%"
"04/09/2025","0.724","0.716","0.730","0.710","190.32K","-0.28%"
"03/09/2025","0.726","0.724","0.728","0.720","63.14K","0.55%"
"02/09/2025","0.722","0.730","0.730","0.720","835.86K","-0.69%"
"01/09/2025","0.727","0.730","0.734","0.720","471.26K","0.97%"
"29/08/2025","0.720","0.722","0.732","0.712","304.16K","-1.64%"
"28/08/2025","0.732","0.730","0.730","0.722","215.74K","1.39%"
"27/08/2025","0.722","0.730","0.732","0.722","266.93K","-1.37%"
"26/08/2025","0.732","0.740","0.740","0.724","243.81K","0.00%"
"22/08/2025","0.732","0.732","0.732","0.732","199.05K","-0.81%"
"21/08/2025","0.738","0.740","0.740","0.738","53.21K","0.82%"
"20/08/2025","0.732","0.744","0.752","0.732","649.61K","-1.61%"
"19/08/2025","0.744","0.740","0.750","0.738","197.84K","0.54%"
"18/08/2025","0.740","0.740","0.750","0.730","139.56K","1.37%"
"15/08/2025","0.730","0.738","0.738","0.730","337.43K","-1.35%"
"14/08/2025","0.740","0.746","0.748","0.738","174.90K","-2.63%"
"13/08/2025","0.760","0.780","0.780","0.760","39.71K","-2.56%"
"12/08/2025","0.780","0.772","0.780","0.768","183.40K","1.17%"
"11/08/2025","0.771","0.750","0.776","0.750","416.53K","1.72%"
"08/08/2025","0.758","0.770","0.782","0.758","42.55K","-1.56%"
"07/08/2025","0.770","0.770","0.780","0.770","75.56K","0.00%"
"06/08/2025","0.770","0.780","0.780","0.770","88.28K","0.00%"
"05/08/2025","0.770","0.780","0.780","0.770","196.15K","-0.77%"
"04/08/2025","0.776","0.788","0.788","0.776","71.37K","0.78%"
"01/08/2025","0.770","0.770","0.778","0.770","188.66K","0.79%"
"31/07/2025","0.764","0.770","0.778","0.764","739.07K","1.87%"
"30/07/2025","0.750","0.784","0.784","0.750","339.48K","-2.85%"
"29/07/2025","0.772","0.800","0.800","0.776","482.41K","-2.89%"
"28/07/2025","0.795","0.800","0.802","0.786","87.66K","0.76%"
"25/07/2025","0.789","0.794","0.794","0.790","21.27K","0.90%"
"24/07/2025","0.782","0.790","0.790","0.780","505.02K","-0.26%"
"23/07/2025","0.784","0.782","0.800","0.782","443.67K","0.26%"
"22/07/2025","0.782","0.772","0.782","0.764","885.99K","1.82%"
"21/07/2025","0.768","0.778","0.780","0.768","413.69K","-1.54%"
"18/07/2025","0.780","0.790","0.790","0.782","390.38K","-0.76%"
"17/07/2025","0.786","0.800","0.800","0.790","81.08K","-1.01%"
"16/07/2025","0.794","0.794","0.800","0.794","2.74M","1.79%"
"15/07/2025","0.780","0.790","0.794","0.780","1.72M","-1.27%"
"14/07/2025","0.790","0.782","0.792","0.782","118.41K","1.80%"
"11/07/2025","0.776","0.778","0.792","0.776","1.09M","0.00%"
"10/07/2025","0.776","0.774","0.776","0.760","465.49K","2.37%"
"09/07/2025","0.758","0.770","0.772","0.758","81.91K","-0.52%"
"08/07/2025","0.762","0.770","0.770","0.762","400.47K","0.26%"
"07/07/2025","0.760","0.778","0.778","0.760","448.31K","-1.30%"
"04/07/2025","0.770","0.772","0.772","0.766","121.24K","0.00%"
"03/07/2025","0.770","0.778","0.778","0.770","62.43K","0.52%"
"02/07/2025","0.766","0.778","0.782","0.766","63.04K","-0.78%"
"01/07/2025","0.772","0.768","0.788","0.768","6.24M","1.58%"
