"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","234.39","245.00","245.00","234.38","8.11K","-4.33%"
"22/09/2025","245.00","255.00","255.00","245.00","16.25K","-3.92%"
"19/09/2025","255.00","255.00","255.00","249.00","12.72K","-3.41%"
"18/09/2025","264.00","256.00","264.00","248.00","23.26K","3.94%"
"17/09/2025","254.00","247.00","259.00","247.00","86.47K","2.83%"
"16/09/2025","247.00","252.00","252.00","247.00","26.94K","-1.20%"
"15/09/2025","250.00","260.00","260.00","250.00","8.28K","-3.85%"
"12/09/2025","260.00","243.00","266.00","243.00","135.43K","8.79%"
"11/09/2025","239.00","238.00","239.00","233.00","6.25K","2.58%"
"10/09/2025","233.00","232.00","233.00","232.00","3.42K","-0.85%"
"09/09/2025","235.00","234.00","235.00","234.00","10.52K","1.73%"
"08/09/2025","231.00","239.00","239.00","231.00","61.68K","-1.07%"
"05/09/2025","233.50","228.00","237.00","228.00","149.95K","8.60%"
"04/09/2025","215.00","222.00","222.00","215.00","30.41K","-5.49%"
"03/09/2025","227.50","221.00","223.00","219.00","18.36K","0.22%"
"02/09/2025","227.00","228.00","230.00","227.00","22.83K","4.13%"
"01/09/2025","218.00","231.00","231.00","218.00","15.08K","-1.80%"
"29/08/2025","222.00","225.00","225.00","218.00","11.70K","1.60%"
"28/08/2025","218.50","217.00","222.00","216.00","5.95K","-3.32%"
"27/08/2025","226.00","226.00","228.00","215.00","58.85K","-0.66%"
"26/08/2025","227.50","234.00","235.00","224.00","72.70K","-3.60%"
"22/08/2025","236.00","239.00","239.00","239.00","10.13K","-0.42%"
"21/08/2025","237.00","240.00","240.00","237.00","3.45K","0.21%"
"20/08/2025","236.50","237.00","237.00","231.00","5.35K","-1.87%"
"19/08/2025","241.00","238.00","241.00","236.00","58.19K","2.55%"
"18/08/2025","235.00","244.00","247.00","235.00","77.88K","-3.29%"
"15/08/2025","243.00","240.00","243.00","235.00","20.96K","3.85%"
"14/08/2025","234.00","234.00","234.00","234.00","6.83K","-0.21%"
"13/08/2025","234.50","234.00","238.00","228.00","43.71K","5.16%"
"12/08/2025","223.00","230.00","230.00","223.00","28.92K","-0.89%"
"11/08/2025","225.00","223.00","230.00","223.00","45.96K","0.22%"
"08/08/2025","224.50","236.00","236.00","205.00","705.73K","-8.55%"
"07/08/2025","245.50","268.00","268.00","240.00","48.39K","-5.94%"
"06/08/2025","261.00","272.00","273.00","261.00","19.25K","-3.87%"
"05/08/2025","271.50","266.00","273.00","265.00","21.04K","6.68%"
"04/08/2025","254.50","259.00","259.00","255.00","6.45K","-3.60%"
"01/08/2025","264.00","268.00","268.00","258.00","8.55K","-3.47%"
"31/07/2025","273.50","271.00","271.00","269.00","12.08K","0.18%"
"30/07/2025","273.00","278.00","278.00","273.00","7.47K","-4.55%"
"29/07/2025","286.00","270.00","292.00","269.00","161.25K","8.75%"
"28/07/2025","263.00","270.00","270.00","260.00","31.68K","1.94%"
"25/07/2025","258.00","267.00","269.00","258.00","87.43K","-3.01%"
"24/07/2025","266.00","262.00","268.00","253.00","65.05K","1.33%"
"23/07/2025","262.50","253.00","268.00","253.00","84.02K","0.38%"
"22/07/2025","261.50","259.00","268.00","259.00","45.17K","2.95%"
"21/07/2025","254.00","268.00","269.00","254.00","37.45K","-1.55%"
"18/07/2025","258.00","260.00","263.00","254.00","56.25K","2.38%"
"17/07/2025","252.00","259.00","259.00","259.00","11.17K","0.80%"
"16/07/2025","250.00","250.00","256.00","250.00","73.65K","2.46%"
"15/07/2025","244.00","242.00","245.00","242.00","46.01K","2.31%"
"14/07/2025","238.50","231.00","244.00","231.00","5.82K","1.06%"
"11/07/2025","236.00","239.00","241.00","235.00","17.13K","2.16%"
"10/07/2025","231.00","230.00","235.00","230.00","9.80K","-1.70%"
"09/07/2025","235.00","239.00","240.00","234.00","15.22K","1.29%"
"08/07/2025","232.00","235.00","236.00","234.00","14.28K","2.65%"
"07/07/2025","226.00","229.00","229.00","226.00","2.79K","-1.31%"
"04/07/2025","229.00","230.00","230.00","229.00","8.75K","-0.43%"
"03/07/2025","230.00","230.00","235.00","230.00","44.92K","4.07%"
"02/07/2025","221.00","224.00","228.00","220.00","20.62K","-0.90%"
"01/07/2025","223.00","223.00","223.00","223.00","6.83K","-1.76%"
