"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","144.66","144.50","146.95","143.50","138.34K","0.11%"
"22/09/2025","144.50","145.00","145.00","142.50","348.43K","-1.37%"
"19/09/2025","146.50","142.00","146.50","140.00","692.10K","4.64%"
"18/09/2025","140.00","142.00","142.50","138.50","442.52K","-3.45%"
"17/09/2025","145.00","143.50","146.00","143.50","108.23K","1.05%"
"16/09/2025","143.50","142.50","145.00","142.50","109.87K","-0.69%"
"15/09/2025","144.50","148.00","148.00","142.50","181.45K","0.00%"
"12/09/2025","144.50","140.50","144.50","140.50","232.27K","1.76%"
"11/09/2025","142.00","140.50","145.00","140.00","249.72K","0.35%"
"10/09/2025","141.50","149.50","149.50","140.50","317.22K","-1.39%"
"09/09/2025","143.50","142.50","144.00","141.50","210.42K","-1.37%"
"08/09/2025","145.50","149.00","149.50","143.00","283.94K","2.83%"
"05/09/2025","141.50","140.50","141.50","140.50","225.86K","0.35%"
"04/09/2025","141.00","143.00","144.00","141.00","353.77K","-0.35%"
"03/09/2025","141.50","145.50","145.50","140.50","175.86K","-4.39%"
"02/09/2025","148.00","142.50","149.00","141.50","374.42K","3.14%"
"01/09/2025","143.50","147.50","148.00","142.00","192.52K","1.77%"
"29/08/2025","141.00","143.00","143.50","141.00","412.73K","-1.05%"
"28/08/2025","142.50","140.00","144.00","140.00","239.65K","0.35%"
"27/08/2025","142.00","142.00","143.00","140.00","474.39K","-1.05%"
"26/08/2025","143.50","146.50","146.50","142.00","155.95K","-0.35%"
"22/08/2025","144.00","142.00","145.00","141.50","201.95K","0.70%"
"21/08/2025","143.00","143.50","144.00","142.50","194.66K","-0.35%"
"20/08/2025","143.50","143.00","145.00","142.50","305.65K","-0.35%"
"19/08/2025","144.00","143.50","145.00","141.50","205.34K","2.13%"
"18/08/2025","141.00","143.50","143.50","140.50","237.33K","-1.05%"
"15/08/2025","142.50","146.00","146.00","141.00","316.57K","-1.72%"
"14/08/2025","145.00","145.50","146.50","143.00","193.37K","0.00%"
"13/08/2025","145.00","145.00","145.00","145.00","210.60K","-2.36%"
"12/08/2025","148.50","148.00","148.50","148.00","83.53K","0.34%"
"11/08/2025","148.00","150.00","150.00","148.00","121.06K","0.68%"
"08/08/2025","147.00","148.00","148.00","146.50","170.67K","-1.34%"
"07/08/2025","149.00","147.50","150.50","147.50","265.63K","1.02%"
"06/08/2025","147.50","146.00","148.50","146.00","190.92K","1.03%"
"05/08/2025","146.00","149.00","149.00","144.00","286.97K","-1.35%"
"04/08/2025","148.00","149.00","151.00","148.00","219.20K","-0.34%"
"01/08/2025","148.50","148.00","149.50","147.50","221.50K","1.02%"
"31/07/2025","147.00","150.00","150.00","147.00","186.48K","-1.34%"
"30/07/2025","149.00","147.50","149.00","147.00","197.87K","1.02%"
"29/07/2025","147.50","153.50","153.50","141.00","767.31K","-5.14%"
"28/07/2025","155.50","153.50","159.50","153.00","304.82K","-2.51%"
"25/07/2025","159.50","157.00","159.50","155.50","93.66K","2.24%"
"24/07/2025","156.00","156.00","158.00","154.00","278.81K","-0.64%"
"23/07/2025","157.00","156.50","157.00","153.00","225.02K","-0.32%"
"22/07/2025","157.50","156.00","157.50","153.50","174.90K","0.96%"
"21/07/2025","156.00","157.00","157.00","154.50","155.44K","-0.32%"
"18/07/2025","156.50","156.50","158.00","156.00","152.00K","1.29%"
"17/07/2025","154.50","157.00","157.50","154.50","152.88K","-1.28%"
"16/07/2025","156.50","158.00","158.00","154.50","136.58K","-0.32%"
"15/07/2025","157.00","159.50","161.00","157.00","142.02K","0.32%"
"14/07/2025","156.50","160.00","160.00","156.50","187.03K","-0.32%"
"11/07/2025","157.00","157.00","158.50","157.00","131.31K","0.00%"
"10/07/2025","157.00","159.00","159.00","157.00","153.34K","0.00%"
"09/07/2025","157.00","156.00","159.50","155.50","207.80K","-0.63%"
"08/07/2025","158.00","159.00","159.00","156.00","261.54K","0.64%"
"07/07/2025","157.00","158.00","160.50","157.00","274.56K","-1.26%"
"04/07/2025","159.00","160.00","161.00","159.00","141.82K","-0.63%"
"03/07/2025","160.00","160.00","164.00","158.50","201.57K","-0.62%"
"02/07/2025","161.00","164.00","164.00","159.50","216.69K","-1.23%"
"01/07/2025","163.00","163.00","164.00","161.00","199.90K","2.19%"
