"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","1,383.48","1,366.00","1,407.04","1,366.00","398.79K","1.65%"
"22/09/2025","1,361.00","1,370.00","1,376.00","1,349.00","779.13K","-0.37%"
"19/09/2025","1,366.00","1,395.00","1,395.00","1,361.00","772.23K","-1.51%"
"18/09/2025","1,387.00","1,410.00","1,410.00","1,375.00","658.07K","-1.91%"
"17/09/2025","1,414.00","1,448.00","1,448.00","1,403.00","786.89K","-1.60%"
"16/09/2025","1,437.00","1,471.00","1,477.00","1,437.00","1.02M","-2.31%"
"15/09/2025","1,471.00","1,441.00","1,500.00","1,441.00","440.09K","0.07%"
"12/09/2025","1,470.00","1,465.00","1,487.00","1,456.00","546.93K","0.34%"
"11/09/2025","1,465.00","1,482.00","1,509.00","1,465.00","764.19K","-0.34%"
"10/09/2025","1,470.00","1,471.00","1,500.00","1,470.00","1.63M","-0.27%"
"09/09/2025","1,474.00","1,490.00","1,507.00","1,462.00","886.04K","-0.94%"
"08/09/2025","1,488.00","1,500.00","1,509.00","1,452.00","745.77K","2.20%"
"05/09/2025","1,456.00","1,454.00","1,477.00","1,416.00","1.07M","3.19%"
"04/09/2025","1,411.00","1,210.00","1,428.00","1,209.00","3.08M","-12.52%"
"03/09/2025","1,613.00","1,576.00","1,617.00","1,573.00","522.77K","2.48%"
"02/09/2025","1,574.00","1,614.00","1,621.00","1,566.00","543.27K","-2.54%"
"01/09/2025","1,615.00","1,610.00","1,638.00","1,610.00","551.81K","-0.80%"
"29/08/2025","1,628.00","1,640.00","1,650.00","1,626.00","488.68K","-0.61%"
"28/08/2025","1,638.00","1,601.00","1,651.00","1,601.00","689.24K","1.49%"
"27/08/2025","1,614.00","1,670.00","1,672.00","1,602.00","512.57K","-3.18%"
"26/08/2025","1,667.00","1,673.00","1,673.00","1,630.00","596.92K","1.21%"
"22/08/2025","1,647.00","1,613.00","1,655.00","1,613.00","361.36K","1.42%"
"21/08/2025","1,624.00","1,623.00","1,624.00","1,605.00","422.27K","0.06%"
"20/08/2025","1,623.00","1,632.00","1,651.00","1,619.00","478.05K","-1.99%"
"19/08/2025","1,656.00","1,632.00","1,657.00","1,632.00","391.91K","1.22%"
"18/08/2025","1,636.00","1,621.00","1,637.00","1,621.00","662.53K","0.49%"
"15/08/2025","1,628.00","1,640.00","1,643.00","1,622.00","363.46K","-0.18%"
"14/08/2025","1,631.00","1,645.00","1,645.00","1,614.00","453.09K","1.30%"
"13/08/2025","1,610.00","1,622.00","1,637.00","1,607.00","802.76K","-1.11%"
"12/08/2025","1,628.00","1,605.00","1,643.00","1,605.00","680.40K","0.74%"
"11/08/2025","1,616.00","1,632.00","1,639.00","1,616.00","562.51K","-0.98%"
"08/08/2025","1,632.00","1,641.00","1,645.00","1,624.00","631.69K","-0.24%"
"07/08/2025","1,636.00","1,639.00","1,643.00","1,624.00","1.57M","0.68%"
"06/08/2025","1,625.00","1,617.00","1,630.00","1,609.00","766.99K","0.06%"
"05/08/2025","1,624.00","1,600.00","1,624.00","1,592.00","825.26K","1.82%"
"04/08/2025","1,595.00","1,607.00","1,616.00","1,594.00","514.30K","-0.68%"
"01/08/2025","1,606.00","1,618.00","1,633.00","1,592.00","685.62K","-1.29%"
"31/07/2025","1,627.00","1,620.00","1,635.00","1,618.00","946.16K","0.18%"
"30/07/2025","1,624.00","1,617.00","1,628.00","1,613.00","435.35K","0.43%"
"29/07/2025","1,617.00","1,662.00","1,662.00","1,601.00","719.16K","-1.46%"
"28/07/2025","1,641.00","1,689.00","1,689.00","1,634.00","587.79K","-1.85%"
"25/07/2025","1,672.00","1,736.00","1,736.00","1,657.00","681.66K","-0.59%"
"24/07/2025","1,682.00","1,671.00","1,687.00","1,671.00","993.83K","0.24%"
"23/07/2025","1,678.00","1,669.00","1,682.00","1,663.00","625.99K","1.39%"
"22/07/2025","1,655.00","1,666.00","1,666.00","1,646.00","886.07K","-0.54%"
"21/07/2025","1,664.00","1,681.00","1,686.00","1,656.00","1.84M","0.42%"
"18/07/2025","1,657.00","1,653.00","1,672.00","1,651.00","742.28K","0.30%"
"17/07/2025","1,652.00","1,651.00","1,684.00","1,637.00","1.13M","-2.02%"
"16/07/2025","1,686.00","1,652.00","1,700.00","1,651.00","687.62K","2.12%"
"15/07/2025","1,651.00","1,688.00","1,705.00","1,651.00","765.00K","-1.96%"
"14/07/2025","1,684.00","1,686.00","1,714.00","1,681.00","643.03K","0.30%"
"11/07/2025","1,679.00","1,700.00","1,721.00","1,679.00","938.95K","-1.24%"
"10/07/2025","1,700.00","1,652.00","1,713.00","1,645.00","1.28M","3.41%"
"09/07/2025","1,644.00","1,775.00","1,834.00","1,644.00","2.04M","-9.92%"
"08/07/2025","1,825.00","1,798.00","1,831.00","1,789.00","803.19K","1.67%"
"07/07/2025","1,795.00","1,797.00","1,802.00","1,750.00","448.62K","2.45%"
"04/07/2025","1,752.00","1,780.00","1,797.00","1,751.00","515.23K","-2.23%"
"03/07/2025","1,792.00","1,750.00","1,805.00","1,750.00","481.95K","2.34%"
"02/07/2025","1,751.00","1,796.00","1,811.00","1,751.00","847.18K","-4.53%"
"01/07/2025","1,834.00","1,817.00","1,861.00","1,817.00","482.46K","-0.60%"
