"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","144.20","144.40","144.60","142.00","400.47K","1.41%"
"22/09/2025","142.20","144.00","144.00","141.80","920.99K","-0.84%"
"19/09/2025","143.40","146.20","148.20","143.40","17.71M","-2.32%"
"18/09/2025","146.80","149.80","149.80","146.60","848.19K","0.14%"
"17/09/2025","146.60","145.20","148.60","145.20","1.10M","-0.14%"
"16/09/2025","146.80","149.60","149.80","146.60","1.06M","-2.13%"
"15/09/2025","150.00","150.80","154.20","149.20","1.53M","-1.06%"
"12/09/2025","151.60","154.80","154.80","150.20","1.11M","0.13%"
"11/09/2025","151.40","149.20","152.20","149.20","474.74K","0.00%"
"10/09/2025","151.40","154.60","155.80","151.40","729.19K","-1.94%"
"09/09/2025","154.40","156.80","157.40","154.40","1.51M","-0.77%"
"08/09/2025","155.60","158.80","158.80","154.40","1.35M","-1.27%"
"05/09/2025","157.60","156.20","157.60","153.00","2.55M","3.14%"
"04/09/2025","152.80","147.80","156.80","147.80","2.83M","2.41%"
"03/09/2025","149.20","154.40","154.40","148.00","1.66M","-1.19%"
"02/09/2025","151.00","144.20","160.00","144.20","2.49M","9.10%"
"01/09/2025","138.40","138.60","140.00","138.20","881.48K","-0.43%"
"29/08/2025","139.00","140.00","140.20","138.40","1.86M","-0.71%"
"28/08/2025","140.00","141.60","142.60","139.20","1.34M","-1.41%"
"27/08/2025","142.00","140.80","144.60","140.80","461.57K","-1.39%"
"26/08/2025","144.00","143.20","144.20","140.00","2.37M","0.14%"
"22/08/2025","143.80","140.60","144.60","140.60","412.35K","0.98%"
"21/08/2025","142.40","141.20","143.40","141.20","655.93K","0.71%"
"20/08/2025","141.40","139.00","142.40","139.00","639.48K","0.14%"
"19/08/2025","141.20","143.40","143.40","140.40","608.00K","0.71%"
"18/08/2025","140.20","140.20","141.60","138.80","814.57K","0.14%"
"15/08/2025","140.00","141.00","143.20","139.80","1.77M","-1.55%"
"14/08/2025","142.20","141.20","142.80","140.80","702.93K","0.99%"
"13/08/2025","140.80","142.00","142.00","139.80","890.11K","0.43%"
"12/08/2025","140.20","135.80","141.40","135.80","1.92M","0.86%"
"11/08/2025","139.00","140.20","141.00","138.80","2.56M","-0.86%"
"08/08/2025","140.20","139.20","140.20","138.40","4.49M","0.57%"
"07/08/2025","139.40","140.40","141.80","137.40","977.23K","1.60%"
"06/08/2025","137.20","137.40","137.40","134.40","1.22M","-0.29%"
"05/08/2025","137.60","142.00","142.00","137.00","1.93M","-0.86%"
"04/08/2025","138.80","139.60","140.20","137.00","1.07M","0.58%"
"01/08/2025","138.00","143.00","144.80","138.00","1.80M","-2.27%"
"31/07/2025","141.20","139.80","142.00","139.80","1.56M","1.00%"
"30/07/2025","139.80","138.20","139.80","137.80","775.25K","1.45%"
"29/07/2025","137.80","141.00","141.00","137.20","4.25M","0.00%"
"28/07/2025","137.80","140.00","140.20","135.60","5.19M","-1.29%"
"25/07/2025","139.60","136.00","140.80","136.00","5.32M","1.01%"
"24/07/2025","138.20","135.60","139.60","135.40","2.98M","1.92%"
"23/07/2025","135.60","136.00","138.20","132.60","20.86M","-1.45%"
"22/07/2025","137.60","136.20","139.00","136.00","2.52M","-1.43%"
"21/07/2025","139.60","140.40","141.60","138.60","2.23M","-0.71%"
"18/07/2025","140.60","136.40","142.40","136.40","1.08M","0.57%"
"17/07/2025","139.80","142.80","143.20","137.80","1.64M","-1.55%"
"16/07/2025","142.00","139.80","144.20","139.80","5.72M","-0.84%"
"15/07/2025","143.20","144.00","145.00","142.40","2.40M","-1.10%"
"14/07/2025","144.80","144.60","145.00","142.20","5.81M","0.28%"
"11/07/2025","144.40","140.40","145.40","140.40","9.12M","0.56%"
"10/07/2025","143.60","152.00","153.20","126.60","8.29M","-6.39%"
"09/07/2025","153.40","159.80","159.80","153.40","2.22M","-1.92%"
"08/07/2025","156.40","159.00","159.00","154.60","1.48M","-1.01%"
"07/07/2025","158.00","158.00","158.80","158.00","2.62M","-0.25%"
"04/07/2025","158.40","158.20","159.60","157.40","3.06M","-0.63%"
"03/07/2025","159.40","155.00","159.40","153.60","3.74M","3.91%"
"02/07/2025","153.40","159.80","159.80","153.40","1.97M","-2.29%"
"01/07/2025","157.00","154.00","157.00","153.00","1.70M","3.29%"
