"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","89.30","87.30","89.60","86.92","4.58M","3.00%"
"22/09/2025","86.70","88.80","90.10","85.10","6.94M","1.88%"
"19/09/2025","85.10","83.40","85.50","82.40","22.80M","4.67%"
"18/09/2025","81.30","82.90","82.90","80.00","7.76M","-3.10%"
"17/09/2025","83.90","82.50","84.30","79.50","7.33M","1.45%"
"16/09/2025","82.70","79.50","83.00","79.20","9.06M","4.03%"
"15/09/2025","79.50","76.80","79.50","75.60","8.38M","3.25%"
"12/09/2025","77.00","77.00","79.00","76.20","11.33M","0.92%"
"11/09/2025","76.30","78.40","78.40","74.80","5.91M","-3.05%"
"10/09/2025","78.70","76.00","78.70","74.30","20.71M","2.34%"
"09/09/2025","76.90","74.60","78.40","74.60","13.53M","2.40%"
"08/09/2025","75.10","70.60","78.50","70.00","15.35M","6.37%"
"05/09/2025","70.60","69.50","71.90","68.30","5.51M","3.07%"
"04/09/2025","68.50","68.90","69.30","67.10","7.67M","-2.56%"
"03/09/2025","70.30","67.00","70.30","65.50","7.04M","4.93%"
"02/09/2025","67.00","64.60","67.00","60.50","7.87M","0.90%"
"01/09/2025","66.40","64.00","67.60","63.90","4.03M","5.06%"
"29/08/2025","63.20","63.90","63.90","62.00","1.46M","2.27%"
"28/08/2025","61.80","62.60","62.90","61.00","1.90M","-0.64%"
"27/08/2025","62.20","63.00","63.00","61.50","3.87M","-1.74%"
"26/08/2025","63.30","64.00","64.00","62.40","3.87M","0.32%"
"22/08/2025","63.10","62.90","63.10","61.30","1.89M","0.96%"
"21/08/2025","62.50","61.80","63.20","61.20","2.11M","1.13%"
"20/08/2025","61.80","60.40","61.80","60.00","3.75M","2.32%"
"19/08/2025","60.40","60.50","61.70","59.80","2.03M","-1.15%"
"18/08/2025","61.10","62.10","63.20","61.10","2.22M","-1.77%"
"15/08/2025","62.20","61.30","62.20","60.80","2.49M","1.47%"
"14/08/2025","61.30","62.00","62.10","61.00","1.60M","-0.65%"
"13/08/2025","61.70","63.10","63.50","61.70","5.86M","-0.96%"
"12/08/2025","62.30","62.00","62.60","61.70","3.14M","0.97%"
"11/08/2025","61.70","61.30","62.10","60.10","2.46M","-1.28%"
"08/08/2025","62.50","60.00","62.90","60.00","2.40M","1.30%"
"07/08/2025","61.70","61.20","62.50","60.70","2.47M","1.15%"
"06/08/2025","61.00","61.30","61.30","59.60","2.31M","1.50%"
"05/08/2025","60.10","58.50","60.20","58.40","3.63M","2.39%"
"04/08/2025","58.70","55.50","58.80","55.10","6.81M","5.77%"
"01/08/2025","55.50","55.00","55.60","53.10","1.86M","4.32%"
"31/07/2025","53.20","53.50","54.10","52.80","2.18M","-1.30%"
"30/07/2025","53.90","56.00","56.00","53.50","9.62M","-1.28%"
"29/07/2025","54.60","54.00","54.90","53.70","3.04M","0.92%"
"28/07/2025","54.10","54.00","56.10","54.00","1.62M","-2.35%"
"25/07/2025","55.40","56.20","56.20","54.50","2.06M","0.18%"
"24/07/2025","55.30","55.70","56.30","53.30","2.84M","-1.78%"
"23/07/2025","56.30","54.50","57.10","54.00","6.59M","2.36%"
"22/07/2025","55.00","54.60","55.10","53.40","14.19M","2.23%"
"21/07/2025","53.80","53.50","54.80","53.20","13.61M","0.56%"
"18/07/2025","53.50","51.20","53.90","51.20","10.60M","5.73%"
"17/07/2025","50.60","50.10","52.40","50.10","5.45M","-0.98%"
"16/07/2025","51.10","51.40","52.00","50.90","3.37M","-0.20%"
"15/07/2025","51.20","51.30","52.20","50.90","3.33M","-0.19%"
"14/07/2025","51.30","50.40","52.30","50.40","2.89M","0.79%"
"11/07/2025","50.90","51.00","51.00","48.80","2.80M","4.30%"
"10/07/2025","48.80","49.05","50.20","48.50","2.72M","0.10%"
"09/07/2025","48.75","49.20","49.70","48.25","2.91M","-2.69%"
"08/07/2025","50.10","49.75","51.20","49.50","6.87M","0.60%"
"07/07/2025","49.80","48.00","49.80","47.50","2.60M","1.84%"
"04/07/2025","48.90","49.00","49.65","48.65","1.78M","-0.20%"
"03/07/2025","49.00","48.05","49.10","47.40","3.65M","4.03%"
"02/07/2025","47.10","48.05","48.05","45.60","3.44M","0.21%"
"01/07/2025","47.00","44.50","48.05","44.50","3.14M","2.73%"
