"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","832.24","801.00","841.00","773.00","287.02K","3.90%"
"22/09/2025","801.00","807.00","814.00","796.00","133.63K","-0.74%"
"19/09/2025","807.00","793.00","808.00","784.00","463.07K","1.89%"
"18/09/2025","792.00","794.00","796.00","785.00","374.72K","-0.25%"
"17/09/2025","794.00","793.00","797.00","789.00","115.66K","0.25%"
"16/09/2025","792.00","830.00","830.00","788.00","165.45K","-0.38%"
"15/09/2025","795.00","845.00","845.00","795.00","159.83K","-1.12%"
"12/09/2025","804.00","772.00","809.00","772.00","130.45K","0.25%"
"11/09/2025","802.00","794.00","804.00","794.00","117.03K","1.01%"
"10/09/2025","794.00","818.00","818.00","790.00","149.08K","-1.61%"
"09/09/2025","807.00","814.00","818.00","803.00","105.54K","-0.98%"
"08/09/2025","815.00","845.00","845.00","805.00","64.18K","0.25%"
"05/09/2025","813.00","808.00","819.00","799.00","188.87K","1.25%"
"04/09/2025","803.00","773.00","804.00","773.00","119.03K","1.01%"
"03/09/2025","795.00","802.00","808.00","790.00","121.17K","0.38%"
"02/09/2025","792.00","804.00","806.00","788.00","200.78K","-1.61%"
"01/09/2025","805.00","808.00","812.00","798.00","90.48K","0.50%"
"29/08/2025","801.00","826.00","826.00","801.00","112.78K","-0.99%"
"28/08/2025","809.00","819.00","826.00","808.00","62.98K","-0.49%"
"27/08/2025","813.00","809.00","834.00","809.00","227.50K","-2.05%"
"26/08/2025","830.00","868.00","868.00","822.00","301.45K","-1.43%"
"22/08/2025","842.00","852.00","852.00","809.00","96.11K","3.69%"
"21/08/2025","812.00","829.00","832.00","812.00","80.19K","-2.05%"
"20/08/2025","829.00","844.00","844.00","826.00","196.84K","-1.07%"
"19/08/2025","838.00","829.00","838.00","821.00","119.62K","0.60%"
"18/08/2025","833.00","842.00","842.00","825.00","76.97K","-0.60%"
"15/08/2025","838.00","875.00","875.00","832.00","98.10K","0.00%"
"14/08/2025","838.00","851.00","852.00","830.00","80.76K","0.48%"
"13/08/2025","834.00","839.00","848.00","831.00","119.59K","-1.18%"
"12/08/2025","844.00","870.00","870.00","836.00","84.18K","0.24%"
"11/08/2025","842.00","860.00","860.00","833.00","84.68K","-1.06%"
"08/08/2025","851.00","870.00","870.00","826.00","117.36K","2.28%"
"07/08/2025","832.00","870.00","870.00","830.00","104.76K","0.12%"
"06/08/2025","831.00","843.00","848.00","831.00","123.79K","-1.07%"
"05/08/2025","840.00","847.00","852.00","834.00","92.83K","-0.59%"
"04/08/2025","845.00","835.00","845.00","827.00","83.66K","2.42%"
"01/08/2025","825.00","839.00","841.00","822.00","171.23K","-2.14%"
"31/07/2025","843.00","855.00","867.00","840.00","262.85K","-1.40%"
"30/07/2025","855.00","840.00","861.00","830.00","125.46K","2.27%"
"29/07/2025","836.00","824.00","837.00","824.00","147.48K","1.83%"
"28/07/2025","821.00","862.00","862.00","816.00","114.76K","-0.36%"
"25/07/2025","824.00","855.00","855.00","819.00","168.24K","-0.24%"
"24/07/2025","826.00","828.00","838.00","825.00","110.18K","0.73%"
"23/07/2025","820.00","829.00","829.00","818.00","73.26K","-0.12%"
"22/07/2025","821.00","866.00","866.00","817.00","112.25K","-0.97%"
"21/07/2025","829.00","793.00","835.00","793.00","88.37K","-0.12%"
"18/07/2025","830.00","832.00","837.00","821.00","101.44K","0.61%"
"17/07/2025","825.00","790.00","831.00","790.00","88.18K","0.24%"
"16/07/2025","823.00","844.00","852.00","820.00","80.32K","-3.06%"
"15/07/2025","849.00","835.00","864.00","834.00","170.82K","1.68%"
"14/07/2025","835.00","854.00","854.00","819.00","126.63K","1.58%"
"11/07/2025","822.00","820.00","833.00","810.00","116.50K","-0.12%"
"10/07/2025","823.00","809.00","828.00","809.00","125.86K","1.23%"
"09/07/2025","813.00","810.00","816.00","805.00","346.69K","0.37%"
"08/07/2025","810.00","808.00","812.00","803.00","120.43K","0.25%"
"07/07/2025","808.00","848.00","848.00","803.00","94.86K","-0.86%"
"04/07/2025","815.00","810.00","816.00","804.00","161.21K","0.37%"
"03/07/2025","812.00","820.00","828.00","810.00","134.50K","-0.98%"
"02/07/2025","820.00","830.00","842.00","813.00","103.37K","-1.32%"
"01/07/2025","831.00","817.00","855.00","817.00","95.77K","-2.24%"
