"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","164.00","160.00","166.30","159.32","1.07M","-0.12%"
"22/09/2025","164.20","160.80","165.00","160.00","1.98M","2.24%"
"19/09/2025","160.60","162.40","166.60","160.60","1.49M","-1.71%"
"18/09/2025","163.40","162.20","166.40","161.20","1.70M","0.74%"
"17/09/2025","162.20","163.00","165.20","161.60","1.02M","-1.46%"
"16/09/2025","164.60","161.00","165.40","159.40","2.79M","3.00%"
"15/09/2025","159.80","156.20","162.80","156.20","1.73M","-0.25%"
"12/09/2025","160.20","152.20","161.60","152.00","2.70M","5.53%"
"11/09/2025","151.80","152.80","157.00","151.80","2.82M","-0.13%"
"10/09/2025","152.00","161.20","161.60","148.80","9.28M","-14.51%"
"09/09/2025","177.80","177.60","178.40","175.40","1.00M","1.25%"
"08/09/2025","175.60","176.00","179.60","174.20","745.07K","0.00%"
"05/09/2025","175.60","179.00","180.40","174.00","974.79K","-2.12%"
"04/09/2025","179.40","186.00","186.00","177.00","817.00K","0.90%"
"03/09/2025","177.80","183.00","186.40","177.80","2.62M","-0.78%"
"02/09/2025","179.20","182.20","182.60","177.60","1.18M","-1.32%"
"01/09/2025","181.60","180.00","182.20","179.20","799.15K","0.89%"
"29/08/2025","180.00","178.00","181.60","178.00","1.49M","0.90%"
"28/08/2025","178.40","180.00","182.20","176.80","1.47M","-0.89%"
"27/08/2025","180.00","177.00","180.40","176.40","958.59K","1.69%"
"26/08/2025","177.00","176.00","178.80","174.40","1.89M","1.26%"
"22/08/2025","174.80","170.80","177.20","170.40","2.31M","2.58%"
"21/08/2025","170.40","164.20","173.20","164.20","1.58M","2.40%"
"20/08/2025","166.40","164.20","167.00","164.20","1.02M","0.36%"
"19/08/2025","165.80","165.00","167.60","165.00","1.03M","-0.24%"
"18/08/2025","166.20","165.60","169.60","165.00","861.63K","-2.35%"
"15/08/2025","170.20","167.60","171.60","167.00","1.39M","2.16%"
"14/08/2025","166.60","169.00","169.00","166.40","1.23M","-0.83%"
"13/08/2025","168.00","171.40","171.40","167.40","1.22M","-1.41%"
"12/08/2025","170.40","168.80","173.00","168.40","1.05M","1.43%"
"11/08/2025","168.00","164.00","172.20","162.80","1.47M","1.82%"
"08/08/2025","165.00","161.80","167.40","161.80","557.98K","0.12%"
"07/08/2025","164.80","170.80","170.80","164.20","906.69K","-1.55%"
"06/08/2025","167.40","164.60","169.60","164.60","1.35M","0.84%"
"05/08/2025","166.00","160.00","170.60","160.00","2.97M","5.60%"
"04/08/2025","157.20","164.60","164.60","156.60","2.59M","-3.79%"
"01/08/2025","163.40","166.80","168.60","163.40","2.02M","-2.74%"
"31/07/2025","168.00","172.00","172.20","167.00","1.37M","-2.78%"
"30/07/2025","172.80","171.40","175.20","166.00","1.72M","-0.80%"
"29/07/2025","174.20","174.00","182.40","173.60","3.55M","1.16%"
"28/07/2025","172.20","170.40","173.40","169.80","1.07M","1.77%"
"25/07/2025","169.20","170.60","170.60","166.60","1.31M","0.00%"
"24/07/2025","169.20","168.60","169.40","166.40","1.60M","0.95%"
"23/07/2025","167.60","166.60","167.60","164.60","1.39M","2.07%"
"22/07/2025","164.20","157.20","165.40","157.20","635.77K","-0.24%"
"21/07/2025","164.60","166.60","166.60","163.20","735.34K","-0.36%"
"18/07/2025","165.20","165.60","166.60","163.80","976.74K","0.98%"
"17/07/2025","163.60","160.20","163.80","159.80","834.10K","0.12%"
"16/07/2025","163.40","161.40","165.60","161.40","524.16K","-0.37%"
"15/07/2025","164.00","170.00","170.00","162.80","823.31K","-1.20%"
"14/07/2025","166.00","169.60","170.80","164.20","1.63M","-2.81%"
"11/07/2025","170.80","165.00","170.80","165.00","1.06M","2.89%"
"10/07/2025","166.00","167.60","167.60","164.20","1.46M","-0.24%"
"09/07/2025","166.40","165.00","170.80","165.00","2.24M","1.22%"
"08/07/2025","164.40","159.00","164.40","158.80","1.96M","3.53%"
"07/07/2025","158.80","160.80","160.80","158.40","909.79K","-1.24%"
"04/07/2025","160.80","161.00","162.20","159.20","771.27K","-0.62%"
"03/07/2025","161.80","161.40","162.80","157.80","1.31M","2.66%"
"02/07/2025","157.60","157.00","159.00","157.00","988.29K","0.38%"
"01/07/2025","157.00","162.80","162.80","154.60","993.29K","-1.63%"
