"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","330.250","335.000","335.000","330.000","23.88K","-1.42%"
"22/09/2025","335.000","335.000","342.000","330.000","111.50K","-1.76%"
"19/09/2025","341.000","343.000","345.000","334.000","52.02K","-0.58%"
"18/09/2025","343.000","345.000","350.000","340.000","11.64K","-0.58%"
"17/09/2025","345.000","345.000","345.000","340.000","6.09K","0.00%"
"16/09/2025","345.000","346.000","350.000","340.000","7.04K","-0.29%"
"15/09/2025","346.000","346.000","348.000","336.000","46.33K","0.00%"
"12/09/2025","346.000","351.000","358.000","346.571","2.56K","-1.42%"
"11/09/2025","351.000","351.000","356.460","347.800","2.44K","0.00%"
"10/09/2025","351.000","347.000","356.360","342.000","7.82K","-0.28%"
"09/09/2025","352.000","347.000","352.000","344.000","16.31K","1.44%"
"08/09/2025","347.000","345.000","350.000","340.500","8.04K","0.29%"
"05/09/2025","346.000","354.000","356.000","340.000","26.27K","-2.26%"
"04/09/2025","354.000","353.000","368.000","350.000","475.97K","0.28%"
"03/09/2025","353.000","353.000","368.000","348.000","1.36K","0.28%"
"02/09/2025","352.000","353.000","358.460","344.429","20.73K","-0.28%"
"01/09/2025","353.000","352.000","360.000","346.100","18.33K","0.28%"
"29/08/2025","352.000","349.000","353.750","346.000","8.61K","1.73%"
"28/08/2025","346.000","345.000","354.000","344.000","67.60K","0.29%"
"27/08/2025","345.000","345.000","347.670","340.000","8.50K","0.00%"
"26/08/2025","345.000","342.000","350.000","342.000","8.80K","0.88%"
"22/08/2025","342.000","342.000","340.000","338.250","56.56K","0.00%"
"21/08/2025","342.000","345.000","350.000","338.880","20.37K","-2.29%"
"20/08/2025","350.000","342.000","350.000","330.000","6.62K","2.34%"
"19/08/2025","342.000","342.000","348.000","338.000","11.07K","1.79%"
"18/08/2025","336.000","342.000","347.490","330.000","6.65K","-1.75%"
"15/08/2025","342.000","339.000","348.000","338.000","17.55K","0.88%"
"14/08/2025","339.000","339.000","346.000","332.000","1.70K","0.00%"
"13/08/2025","339.000","339.000","346.000","338.000","33.46K","0.00%"
"12/08/2025","339.000","339.000","338.000","332.500","8.78K","0.00%"
"11/08/2025","339.000","338.000","346.000","332.000","26.67K","0.30%"
"08/08/2025","338.000","338.000","342.680","332.250","1.72K","0.00%"
"07/08/2025","338.000","344.000","348.000","332.000","8.14K","-1.74%"
"06/08/2025","344.000","344.000","347.120","340.880","6.91K","0.00%"
"05/08/2025","344.000","339.000","348.000","340.000","7.33K","1.47%"
"04/08/2025","339.000","339.000","346.000","332.000","10.06K","-2.59%"
"01/08/2025","348.000","342.000","348.000","332.000","17.12K","1.75%"
"31/07/2025","342.000","336.000","348.000","330.000","14.30K","1.79%"
"30/07/2025","336.000","336.000","342.000","330.000","2.85K","0.00%"
"29/07/2025","336.000","331.000","342.000","326.000","9.54K","1.82%"
"28/07/2025","330.000","326.000","335.000","329.000","4.37K","1.23%"
"25/07/2025","326.000","325.000","330.000","322.000","18.90K","-2.40%"
"24/07/2025","334.000","323.000","334.000","323.000","37.51K","3.41%"
"23/07/2025","323.000","321.000","326.000","320.000","1.36M","0.62%"
"22/07/2025","321.000","317.000","321.000","313.000","20.44K","1.26%"
"21/07/2025","317.000","316.000","313.000","310.000","7.73K","0.32%"
"18/07/2025","316.000","315.000","322.000","308.000","24.28K","1.28%"
"17/07/2025","312.000","312.000","318.000","306.000","43.64K","0.00%"
"16/07/2025","312.000","323.000","328.000","308.000","6.47K","-3.41%"
"15/07/2025","323.000","325.000","328.000","318.000","2.52K","-0.62%"
"14/07/2025","325.000","325.000","323.000","320.000","3.43K","0.00%"
"11/07/2025","325.000","322.000","329.750","318.000","7.17K","0.31%"
"10/07/2025","324.000","322.000","326.000","319.680","14.02K","0.62%"
"09/07/2025","322.000","320.000","325.600","319.680","6.80K","0.63%"
"08/07/2025","320.000","317.000","324.000","314.000","5.57K","0.95%"
"07/07/2025","317.000","317.000","317.790","314.000","0.89K","0.00%"
"04/07/2025","317.000","318.000","322.000","313.300","8.05K","-0.94%"
"03/07/2025","320.000","317.000","321.000","312.625","4.16K","0.95%"
"02/07/2025","317.000","318.000","324.000","312.000","5.84K","-0.31%"
"01/07/2025","318.000","320.000","324.000","312.000","2.87K","-0.63%"
