"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","354.90","350.00","361.00","350.00","131.87K","0.40%"
"22/09/2025","353.50","354.00","360.50","351.50","324.56K","-0.84%"
"19/09/2025","356.50","355.00","360.00","353.50","279.23K","-0.28%"
"18/09/2025","357.50","347.00","360.00","339.50","285.88K","5.46%"
"17/09/2025","339.00","330.00","343.00","328.50","512.93K","3.20%"
"16/09/2025","328.50","332.00","336.50","327.50","278.40K","-1.65%"
"15/09/2025","334.00","332.00","337.50","328.50","818.64K","0.15%"
"12/09/2025","333.50","337.00","337.50","331.50","188.23K","-0.30%"
"11/09/2025","334.50","340.00","340.00","330.50","240.76K","0.60%"
"10/09/2025","332.50","334.00","334.00","328.50","440.95K","0.15%"
"09/09/2025","332.00","335.00","339.00","330.50","327.11K","-1.63%"
"08/09/2025","337.50","349.00","349.00","332.50","670.93K","-1.32%"
"05/09/2025","342.00","333.00","347.50","333.00","689.76K","2.70%"
"04/09/2025","333.00","330.00","340.00","330.00","217.33K","-1.04%"
"03/09/2025","336.50","330.00","341.00","330.00","149.39K","-0.15%"
"02/09/2025","337.00","345.00","346.50","334.50","486.27K","-2.60%"
"01/09/2025","346.00","353.00","353.00","341.50","288.10K","-0.43%"
"29/08/2025","347.50","347.50","358.00","347.00","384.38K","-1.42%"
"28/08/2025","352.50","342.50","353.50","342.50","281.14K","1.29%"
"27/08/2025","348.00","351.00","354.50","345.00","175.00K","-1.28%"
"26/08/2025","352.50","351.00","358.00","349.00","423.80K","-0.70%"
"22/08/2025","355.00","344.50","355.00","344.50","223.25K","2.16%"
"21/08/2025","347.50","360.00","360.00","343.50","221.42K","-1.42%"
"20/08/2025","352.50","357.50","357.50","350.00","293.90K","-2.22%"
"19/08/2025","360.50","355.00","361.00","355.00","216.61K","0.28%"
"18/08/2025","359.50","355.00","363.50","355.00","208.29K","0.84%"
"15/08/2025","356.50","361.00","361.00","356.00","192.20K","-1.25%"
"14/08/2025","361.00","360.00","364.00","359.00","158.78K","0.28%"
"13/08/2025","360.00","369.50","370.50","360.00","331.61K","-3.49%"
"12/08/2025","373.00","365.00","375.50","362.50","381.85K","3.76%"
"11/08/2025","359.50","362.00","365.00","356.50","273.36K","-1.24%"
"08/08/2025","364.00","360.00","364.50","359.00","189.57K","0.28%"
"07/08/2025","363.00","366.50","378.00","356.00","600.96K","0.83%"
"06/08/2025","360.00","365.50","365.50","356.00","239.31K","-0.41%"
"05/08/2025","361.50","361.50","369.00","357.50","280.17K","-0.28%"
"04/08/2025","362.50","368.50","373.00","362.50","242.62K","-1.36%"
"01/08/2025","367.50","370.50","371.50","363.50","545.39K","-1.34%"
"31/07/2025","372.50","380.00","382.00","370.50","556.89K","-1.97%"
"30/07/2025","380.00","368.50","383.50","368.00","582.20K","2.70%"
"29/07/2025","370.00","366.50","371.00","365.00","259.34K","1.37%"
"28/07/2025","365.00","370.00","373.00","365.00","571.03K","-1.08%"
"25/07/2025","369.00","350.00","369.00","350.00","363.47K","1.23%"
"24/07/2025","364.50","360.50","365.00","359.50","272.28K","2.68%"
"23/07/2025","355.00","364.00","364.00","355.00","318.13K","-1.11%"
"22/07/2025","359.00","360.00","363.50","355.00","400.05K","-1.91%"
"21/07/2025","366.00","372.50","372.50","364.50","193.35K","-1.08%"
"18/07/2025","370.00","370.00","374.00","367.50","211.46K","-0.27%"
"17/07/2025","371.00","365.50","373.50","364.50","439.24K","2.06%"
"16/07/2025","363.50","382.00","382.00","363.50","278.41K","-3.71%"
"15/07/2025","377.50","374.50","383.00","373.50","1.56M","0.80%"
"14/07/2025","374.50","380.00","380.00","365.00","376.71K","1.90%"
"11/07/2025","367.50","370.00","376.00","365.50","365.57K","-3.16%"
"10/07/2025","379.50","373.50","380.50","373.00","628.56K","2.29%"
"09/07/2025","371.00","376.50","379.50","370.00","1.42M","0.00%"
"08/07/2025","371.00","368.00","376.50","365.00","326.12K","0.27%"
"07/07/2025","370.00","375.00","375.00","367.00","288.35K","-0.27%"
"04/07/2025","371.00","383.50","383.50","370.50","400.76K","-2.75%"
"03/07/2025","381.50","375.00","384.50","369.00","948.06K","3.81%"
"02/07/2025","367.50","375.00","375.00","364.50","499.27K","0.27%"
"01/07/2025","366.50","382.50","383.50","365.00","564.04K","-4.18%"
