"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2025","574.00","564.00","579.50","563.50","1.24M","1.77%"
"22/09/2025","564.00","542.00","564.50","542.00","1.86M","6.11%"
"19/09/2025","531.50","524.50","537.00","524.50","1.54M","1.33%"
"18/09/2025","524.50","535.00","536.00","524.50","1.25M","-1.96%"
"17/09/2025","535.00","535.50","539.00","522.00","1.04M","-0.74%"
"16/09/2025","539.00","542.00","562.50","539.00","4.16M","3.85%"
"15/09/2025","519.00","519.50","524.50","513.50","1.43M","-1.14%"
"12/09/2025","525.00","522.50","533.00","520.00","1.15M","0.57%"
"11/09/2025","522.00","519.50","527.50","517.00","705.87K","0.87%"
"10/09/2025","517.50","540.50","542.50","513.50","1.59M","-4.52%"
"09/09/2025","542.00","542.00","548.50","539.50","1.49M","0.09%"
"08/09/2025","541.50","527.50","545.50","527.50","964.79K","3.24%"
"05/09/2025","524.50","532.00","535.00","518.00","750.27K","-1.41%"
"04/09/2025","532.00","538.00","541.50","527.50","903.76K","-0.56%"
"03/09/2025","535.00","525.00","539.50","525.00","1.83M","2.20%"
"02/09/2025","523.50","523.50","525.00","509.00","839.16K","-0.48%"
"01/09/2025","526.00","514.00","527.50","507.50","716.69K","1.84%"
"29/08/2025","516.50","502.00","524.50","501.50","2.40M","5.97%"
"28/08/2025","487.40","486.40","492.60","482.00","774.74K","0.00%"
"27/08/2025","487.40","492.40","494.20","483.60","1.40M","-1.10%"
"26/08/2025","492.80","486.20","500.00","486.20","2.23M","1.65%"
"22/08/2025","484.80","467.20","491.20","466.60","1.71M","4.03%"
"21/08/2025","466.00","472.20","472.20","462.20","1.66M","-1.31%"
"20/08/2025","472.20","478.00","478.20","467.60","1.27M","-1.46%"
"19/08/2025","479.20","503.00","505.50","479.20","1.10M","-5.01%"
"18/08/2025","504.50","501.00","512.50","501.00","540.53K","1.51%"
"15/08/2025","497.00","491.00","498.60","488.60","448.55K","0.85%"
"14/08/2025","492.80","499.80","502.50","489.00","896.50K","-1.32%"
"13/08/2025","499.40","497.00","507.50","497.00","353.55K","0.08%"
"12/08/2025","499.00","508.00","508.00","496.00","405.67K","-1.09%"
"11/08/2025","504.50","502.00","507.50","495.60","450.94K","-0.79%"
"08/08/2025","508.50","504.00","512.00","502.50","539.08K","0.79%"
"07/08/2025","504.50","513.00","515.50","504.50","537.86K","-1.85%"
"06/08/2025","514.00","504.00","514.00","502.50","701.85K","2.19%"
"05/08/2025","503.00","493.60","508.50","492.00","1.11M","3.37%"
"04/08/2025","486.60","482.20","489.00","482.20","472.90K","1.16%"
"01/08/2025","481.00","483.00","489.80","477.60","766.42K","-1.80%"
"31/07/2025","489.80","500.00","501.00","484.40","925.47K","-1.09%"
"30/07/2025","495.20","494.80","504.50","494.60","405.01K","-0.68%"
"29/07/2025","498.60","493.80","504.00","492.00","665.71K","0.89%"
"28/07/2025","494.20","503.50","503.50","481.80","1.17M","-2.52%"
"25/07/2025","507.00","500.00","515.00","498.60","672.43K","-0.59%"
"24/07/2025","510.00","495.00","512.00","492.00","1.17M","3.62%"
"23/07/2025","492.20","495.80","497.00","486.20","957.72K","0.04%"
"22/07/2025","492.00","497.00","498.00","487.00","1.20M","0.65%"
"21/07/2025","488.80","486.00","492.40","486.00","700.63K","0.58%"
"18/07/2025","486.00","493.20","493.60","478.00","840.63K","-1.10%"
"17/07/2025","491.40","506.50","510.50","482.20","890.10K","-0.97%"
"16/07/2025","496.20","497.00","505.50","496.20","645.99K","-1.25%"
"15/07/2025","502.50","498.00","513.50","496.20","835.59K","1.56%"
"14/07/2025","494.80","487.20","497.00","484.00","477.77K","1.44%"
"11/07/2025","487.80","478.00","490.40","478.00","337.66K","1.33%"
"10/07/2025","481.40","477.60","485.60","477.00","644.83K","1.30%"
"09/07/2025","475.20","486.80","487.00","473.20","1.31M","-2.90%"
"08/07/2025","489.40","501.00","503.00","487.60","715.91K","-1.96%"
"07/07/2025","499.20","506.00","509.50","499.20","472.91K","-1.93%"
"04/07/2025","509.00","505.00","509.00","501.50","368.19K","-0.20%"
"03/07/2025","510.00","521.50","526.50","505.00","1.04M","-2.49%"
"02/07/2025","523.00","523.00","526.00","516.50","661.99K","0.00%"
"01/07/2025","523.00","527.50","529.00","518.00","695.74K","-0.66%"
