open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0.0,0.0,0.0,464.5,1101.0,,,464.5,,,1.0,0.0,POLR.L,XLON,2025-09-22T00:00:00+0000
471.0,471.0,454.5,465.0,187768.0,,,465.0,,,1.0,0.0,POLR.L,XLON,2025-09-19T00:00:00+0000
0.0,0.0,0.0,468.0,40484.0,,,468.0,,,1.0,0.0,POLR.L,XLON,2025-09-18T00:00:00+0000
0.0,0.0,0.0,460.0,12.0,,,460.0,,,1.0,0.0,POLR.L,XLON,2025-09-17T00:00:00+0000
0.0,0.0,0.0,453.5,12976.0,,,453.5,,,1.0,0.0,POLR.L,XLON,2025-09-16T00:00:00+0000
0.0,0.0,0.0,462.0,28684.0,,,462.0,,,1.0,0.0,POLR.L,XLON,2025-09-15T00:00:00+0000
451.75,457.5,444.0,452.5,345485.0,,,452.5,,,1.0,0.0,POLR.L,XLON,2025-09-12T00:00:00+0000
0.0,0.0,0.0,451.5,29862.0,,,451.5,,,1.0,0.0,POLR.L,XLON,2025-09-11T00:00:00+0000
0.0,0.0,0.0,441.0,38857.0,,,441.0,,,1.0,0.0,POLR.L,XLON,2025-09-10T00:00:00+0000
0.0,0.0,0.0,447.0,28458.0,,,447.0,,,1.0,0.0,POLR.L,XLON,2025-09-09T00:00:00+0000
0.0,0.0,0.0,450.5,39977.0,,,450.5,,,1.0,0.0,POLR.L,XLON,2025-09-08T00:00:00+0000
464.0,464.0,441.0,444.0,241043.0,,,444.0,,,1.0,0.0,POLR.L,XLON,2025-09-05T00:00:00+0000
0.0,0.0,0.0,444.5,100.0,,,444.5,,,1.0,0.0,POLR.L,XLON,2025-09-04T00:00:00+0000
0.0,0.0,0.0,443.0,14000.0,,,443.0,,,1.0,0.0,POLR.L,XLON,2025-09-03T00:00:00+0000
0.0,0.0,0.0,445.0,68380.0,,,445.0,,,1.0,0.0,POLR.L,XLON,2025-09-02T00:00:00+0000
0.0,0.0,0.0,466.0,622.0,,,466.0,,,1.0,0.0,POLR.L,XLON,2025-09-01T00:00:00+0000
475.0,475.0,458.0,459.0,251334.0,,,459.0,,,1.0,0.0,POLR.L,XLON,2025-08-29T00:00:00+0000
0.0,0.0,0.0,469.0,384.0,,,469.0,,,1.0,0.0,POLR.L,XLON,2025-08-27T00:00:00+0000
0.0,0.0,0.0,473.5,209049.0,,,473.5,,,1.0,0.0,POLR.L,XLON,2025-08-26T00:00:00+0000
482.0,482.0,465.0,480.0,174478.0,,,480.0,,,1.0,0.0,POLR.L,XLON,2025-08-22T00:00:00+0000
472.5,481.5,465.5,472.5,89963.0,,,472.5,,,1.0,0.0,POLR.L,XLON,2025-08-21T00:00:00+0000
0.0,0.0,0.0,474.5,28.0,,,474.5,,,1.0,0.0,POLR.L,XLON,2025-08-20T00:00:00+0000
0.0,0.0,0.0,476.0,39330.0,,,476.0,,,1.0,0.0,POLR.L,XLON,2025-08-19T00:00:00+0000
485.0,497.0,474.0,477.5,247566.0,,,477.5,,,1.0,0.0,POLR.L,XLON,2025-08-15T00:00:00+0000
0.0,0.0,0.0,480.0,45734.0,,,480.0,,,1.0,0.0,POLR.L,XLON,2025-08-13T00:00:00+0000
0.0,0.0,0.0,484.5,291.0,,,484.5,,,1.0,0.0,POLR.L,XLON,2025-08-12T00:00:00+0000
0.0,0.0,0.0,489.0,1000.0,,,489.0,,,1.0,0.0,POLR.L,XLON,2025-08-11T00:00:00+0000
490.5,498.0,474.0,490.0,292144.0,,,490.0,,,1.0,0.0,POLR.L,XLON,2025-08-08T00:00:00+0000
0.0,0.0,0.0,489.0,1000.0,,,489.0,,,1.0,0.0,POLR.L,XLON,2025-08-07T00:00:00+0000
0.0,0.0,0.0,487.0,28444.0,,,487.0,,,1.0,0.0,POLR.L,XLON,2025-08-06T00:00:00+0000
0.0,0.0,0.0,485.0,2173.0,,,485.0,,,1.0,0.0,POLR.L,XLON,2025-08-05T00:00:00+0000
0.0,0.0,0.0,476.5,25547.0,,,476.5,,,1.0,0.0,POLR.L,XLON,2025-08-04T00:00:00+0000
460.0,483.5,460.0,467.5,203330.0,,,467.5,,,1.0,0.0,POLR.L,XLON,2025-08-01T00:00:00+0000
0.0,0.0,0.0,475.5,20000.0,,,475.5,,,1.0,0.0,POLR.L,XLON,2025-07-31T00:00:00+0000
0.0,0.0,0.0,468.5,43961.0,,,468.5,,,1.0,0.0,POLR.L,XLON,2025-07-30T00:00:00+0000
0.0,0.0,0.0,465.5,30650.0,,,465.5,,,1.0,0.0,POLR.L,XLON,2025-07-29T00:00:00+0000
0.0,0.0,0.0,472.0,38225.0,,,472.0,,,1.0,0.0,POLR.L,XLON,2025-07-28T00:00:00+0000
442.0,442.5,421.5,439.0,213746.0,,,439.0,,,1.0,0.0,POLR.L,XLON,2025-06-20T00:00:00+0000
,,,435.0,23335.0,,,435.0,,,1.0,0.0,POLR.L,XLON,2025-06-19T00:00:00+0000
,,,439.0,28732.0,,,439.0,,,1.0,0.0,POLR.L,XLON,2025-06-18T00:00:00+0000
,,,438.0,31622.0,,,438.0,,,1.0,0.0,POLR.L,XLON,2025-06-16T00:00:00+0000
426.0,445.0,426.0,442.0,407734.0,,,442.0,,,1.0,0.0,POLR.L,XLON,2025-06-06T00:00:00+0000
,,,434.5,32478.0,,,434.5,,,1.0,0.0,POLR.L,XLON,2025-06-05T00:00:00+0000
,,,444.0,409.0,,,444.0,,,1.0,0.0,POLR.L,XLON,2025-06-04T00:00:00+0000
